creator,artifact,creator_recognition,artifact_recognition,artifact_minus_creator
Jiayi Weng,Tianshou,0.222,0.833,0.611
Andrej Karpathy,nanoGPT,0.861,0.778,-0.083
Harrison Chase,LangChain,0.75,0.944,0.194
Tri Dao,FlashAttention,0.722,0.861,0.139
Simon Willison,Datasette,0.833,1.0,0.167
Aman Sanger,Cursor,0.583,0.806,0.222
Dario Amodei,Anthropic,0.917,1.0,0.083
Demis Hassabis,Google DeepMind,1.0,1.0,0.0
Mira Murati,Thinking Machines Lab,0.778,0.167,-0.611
Aravind Srinivas,Perplexity,0.75,0.889,0.139
