cohort,n,mean,median,sd,p10,p25,p75,p90,frac_recognized,frac_silent,refusal_rate
ai_hardware,6,0.986,1.0,0.021,0.958,0.979,1.0,1.0,1.0,0.0,0.009
ai_startup_or_company,59,0.825,0.889,0.23,0.583,0.75,0.986,1.0,0.898,0.034,0.055
award,13,0.917,0.917,0.084,0.794,0.861,1.0,1.0,1.0,0.0,0.011
benchmark,20,0.744,0.833,0.246,0.436,0.632,0.896,0.975,0.85,0.05,0.118
cmo_china_gold,131,0.032,0.0,0.079,0.0,0.0,0.028,0.083,0.008,0.519,0.659
conference,24,0.957,0.972,0.056,0.889,0.944,1.0,1.0,1.0,0.0,0.012
cpho_china_first_prize,50,0.028,0.028,0.031,0.0,0.0,0.028,0.058,0.0,0.4,0.682
cs_faculty,448,0.552,0.583,0.231,0.194,0.41,0.722,0.814,0.647,0.007,0.195
database_or_data_system,26,0.976,1.0,0.036,0.931,0.972,1.0,1.0,1.0,0.0,0.016
dataset,14,0.956,1.0,0.082,0.886,0.951,1.0,1.0,1.0,0.0,0.008
deepseek_v3_author,22,0.098,0.042,0.123,0.0,0.0,0.111,0.331,0.0,0.318,0.504
foundation_model,64,0.725,0.778,0.232,0.414,0.681,0.889,0.964,0.844,0.0,0.122
gpt5_system_card_author,20,0.089,0.028,0.108,0.0,0.0,0.194,0.253,0.0,0.45,0.611
icpc_world_finals_gold,18,0.338,0.264,0.204,0.214,0.222,0.326,0.539,0.111,0.0,0.292
imo_gold,197,0.12,0.083,0.13,0.0,0.028,0.167,0.289,0.025,0.127,0.395
industry_product,6,0.898,0.917,0.098,0.792,0.896,0.958,0.986,1.0,0.0,0.051
ioi_gold,68,0.154,0.111,0.173,0.028,0.028,0.222,0.322,0.088,0.088,0.386
long_tail_paper,491,0.238,0.139,0.237,0.028,0.056,0.389,0.639,0.171,0.065,0.327
long_tail_researcher_ikp,159,0.11,0.028,0.163,0.0,0.0,0.167,0.339,0.057,0.396,0.531
long_tail_researcher_openalex,603,0.396,0.417,0.269,0.028,0.139,0.611,0.772,0.405,0.058,0.315
mid_tier_activist,2,0.819,0.819,0.042,0.786,0.799,0.84,0.853,1.0,0.0,0.125
mid_tier_actor,123,0.734,0.778,0.208,0.422,0.611,0.917,0.972,0.862,0.0,0.108
mid_tier_architect,36,0.542,0.569,0.282,0.153,0.312,0.806,0.847,0.583,0.028,0.242
mid_tier_artist,45,0.976,0.972,0.028,0.944,0.972,1.0,1.0,1.0,0.0,0.001
mid_tier_athlete,134,0.721,0.806,0.235,0.35,0.639,0.889,0.917,0.858,0.007,0.122
mid_tier_book,110,0.848,0.944,0.218,0.608,0.806,1.0,1.0,0.927,0.018,0.064
mid_tier_chef,43,0.917,0.917,0.082,0.833,0.889,0.972,1.0,1.0,0.0,0.016
mid_tier_comedian,45,0.839,0.861,0.093,0.722,0.806,0.889,0.944,1.0,0.0,0.023
mid_tier_filmmaker,38,0.95,1.0,0.153,0.917,0.944,1.0,1.0,0.974,0.0,0.004
mid_tier_founder,29,0.89,0.972,0.194,0.772,0.861,1.0,1.0,0.966,0.034,0.033
mid_tier_gov_ai_policy,25,0.804,0.861,0.256,0.667,0.778,0.944,0.989,0.92,0.08,0.053
mid_tier_historical,102,0.981,1.0,0.101,0.972,1.0,1.0,1.0,0.99,0.01,0.003
mid_tier_journalist,68,0.888,0.889,0.118,0.778,0.854,0.972,1.0,0.985,0.0,0.007
mid_tier_medical,35,0.891,0.917,0.171,0.789,0.861,0.972,1.0,0.971,0.029,0.016
mid_tier_musician,64,0.934,0.972,0.132,0.842,0.917,1.0,1.0,0.984,0.016,0.003
mid_tier_online_course,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
mid_tier_oss_maintainer,22,0.833,0.944,0.249,0.542,0.833,0.972,1.0,0.909,0.045,0.083
mid_tier_podcast,43,0.903,0.944,0.156,0.806,0.889,0.972,1.0,0.977,0.0,0.012
mid_tier_politician,103,0.938,0.944,0.071,0.833,0.917,1.0,1.0,1.0,0.0,0.01
mid_tier_product,46,0.672,0.944,0.435,0.0,0.007,1.0,1.0,0.696,0.261,0.007
mid_tier_religious,28,0.927,0.958,0.082,0.833,0.882,0.972,1.0,1.0,0.0,0.014
mid_tier_vc,9,0.781,0.778,0.13,0.583,0.722,0.889,0.928,1.0,0.0,0.034
mid_tier_writer,192,0.751,0.861,0.266,0.336,0.611,0.972,1.0,0.839,0.021,0.119
msra_phd_fellowship,237,0.182,0.111,0.171,0.0,0.056,0.278,0.417,0.068,0.131,0.519
named_method,60,0.919,1.0,0.182,0.722,0.944,1.0,1.0,0.95,0.0,0.007
noi_china_gold,29,0.086,0.056,0.109,0.0,0.028,0.083,0.228,0.0,0.172,0.594
oss_project,167,0.872,0.917,0.15,0.722,0.806,0.972,1.0,0.982,0.006,0.035
programming_language,29,0.966,0.972,0.038,0.939,0.972,1.0,1.0,1.0,0.0,0.026
putnam_fellow,35,0.343,0.333,0.154,0.167,0.208,0.417,0.528,0.171,0.0,0.392
reference_pilot,37,0.627,0.75,0.329,0.061,0.389,0.861,0.983,0.703,0.054,0.168
research_paper,162,0.247,0.0,0.39,0.0,0.0,0.653,0.944,0.278,0.654,0.069
rhodes_scholar,36,0.152,0.097,0.149,0.028,0.056,0.194,0.389,0.083,0.083,0.593
website_or_service,2,0.944,0.944,0.056,0.9,0.917,0.972,0.989,1.0,0.0,0.014
