entity_id,entity_name,cohort,en_all,zh_all,delta_zh_minus_en,en_western,en_chinese,zh_western,zh_chinese,western_lang_lift,chinese_lang_lift
yann_lecun,Yann LeCun,reference_pilot,0.757,0.678,-0.079,0.719,0.819,0.659,0.709,-0.06,-0.111
vicki_cheung,Vicki Cheung,reference_pilot,0.3,0.292,-0.008,0.34,0.234,0.267,0.332,-0.073,0.098
geoffrey_hinton,Geoffrey Hinton,reference_pilot,0.616,0.548,-0.067,0.599,0.643,0.545,0.554,-0.054,-0.089
ds_jian_liang,Jian Liang,deepseek_v3_author,0.169,0.28,0.111,0.163,0.179,0.275,0.287,0.113,0.109
noi_he_pufan_2009,He Pufan (何朴藩),noi_china_gold,0.414,0.336,-0.077,0.4,0.436,0.367,0.286,-0.033,-0.15
flashattention,FlashAttention,reference_pilot,0.607,0.47,-0.137,0.564,0.678,0.467,0.474,-0.097,-0.204
cpho_qin_yunshan_2009,Qin Yunshan (秦云山),cpho_china_first_prize,0.135,0.17,0.035,0.2,0.029,0.209,0.107,0.009,0.079
noi_chen_keqing_2009,Chen Keqing (陈可卿),noi_china_gold,0.356,0.341,-0.015,0.365,0.34,0.413,0.221,0.048,-0.119
noi_lai_luhang_2009,Lai Luhang (赖陆航),noi_china_gold,0.319,0.27,-0.049,0.34,0.286,0.265,0.279,-0.075,-0.007
noi_ru_yizhong_2012,Ru Yizhong (茹逸中),noi_china_gold,0.45,0.425,-0.025,0.467,0.421,0.421,0.432,-0.046,0.011
ds_dejian_yang,Dejian Yang,deepseek_v3_author,0.184,0.218,0.033,0.17,0.207,0.249,0.166,0.079,-0.041
ds_peng_zhang,Peng Zhang,deepseek_v3_author,0.159,0.327,0.168,0.193,0.102,0.366,0.264,0.173,0.161
ds_daya_guo,Daya Guo,deepseek_v3_author,0.308,0.317,0.009,0.263,0.381,0.266,0.401,0.003,0.021
ds_yuheng_zou,Yuheng Zou,deepseek_v3_author,0.123,0.248,0.125,0.154,0.071,0.338,0.1,0.184,0.029
cmo_lin_bo_2009,Lin Bo (林博),cmo_china_gold,0.35,0.433,0.083,0.359,0.336,0.458,0.391,0.099,0.056
noi_feng_qiwei_2009,Feng Qiwei (冯齐纬),noi_china_gold,0.349,0.311,-0.038,0.404,0.257,0.357,0.236,-0.048,-0.021
ds_ruoyu_zhang,Ruoyu Zhang,deepseek_v3_author,0.231,0.265,0.034,0.228,0.236,0.261,0.271,0.033,0.035
ds_zijia_zhu,Zijia Zhu,deepseek_v3_author,0.103,0.293,0.191,0.109,0.093,0.296,0.289,0.187,0.196
msra_tong_wu_2008,Tong Wu,msra_phd_fellowship,0.261,0.216,-0.045,0.297,0.2,0.237,0.182,-0.061,-0.018
mid_tier_writer_ryan_holiday,Ryan Holiday,mid_tier_writer,0.862,0.825,-0.037,0.839,0.9,0.767,0.921,-0.073,0.021
msra_tatsunori_taniai_2015,Tatsunori Taniai,msra_phd_fellowship,0.425,0.395,-0.03,0.409,0.45,0.409,0.371,0.0,-0.079
noi_ouyang_qianyu_2013,Ouyang Qianyu (欧阳前宇),noi_china_gold,0.34,0.385,0.045,0.417,0.214,0.403,0.357,-0.014,0.143
ds_tianyu_sun,Tianyu Sun,deepseek_v3_author,0.206,0.319,0.112,0.173,0.261,0.296,0.356,0.123,0.095
react_paper,ReAct,reference_pilot,0.578,0.468,-0.11,0.587,0.563,0.461,0.479,-0.127,-0.084
cmo_sheng_kai_2009,Sheng Kai (盛开),cmo_china_gold,0.231,0.226,-0.005,0.232,0.229,0.233,0.214,0.001,-0.014
cmo_liang_zhehui_2012,Liang Zhehui (梁喆晖),cmo_china_gold,0.398,0.336,-0.062,0.405,0.386,0.329,0.346,-0.076,-0.039
aman_sanger,Aman Sanger,reference_pilot,0.289,0.274,-0.016,0.277,0.311,0.239,0.331,-0.037,0.02
cmo_li_xiongfeng_2009,Li Xiongfeng (黎雄风),cmo_china_gold,0.216,0.185,-0.031,0.226,0.2,0.25,0.079,0.024,-0.121
cpho_xie_yuchen_2009,Xie Yuchen (谢雨辰),cpho_china_first_prize,0.213,0.177,-0.036,0.247,0.157,0.22,0.107,-0.027,-0.05
ds_kexin_huang,Kexin Huang,deepseek_v3_author,0.138,0.21,0.072,0.134,0.143,0.194,0.236,0.06,0.093
ds_yunfan_xiong,Yunfan Xiong,deepseek_v3_author,0.264,0.316,0.052,0.331,0.154,0.272,0.388,-0.059,0.234
noi_zhang_fang_2009,Zhang Fang (张放),noi_china_gold,0.294,0.267,-0.026,0.199,0.449,0.278,0.25,0.079,-0.199
msra_pan_zhou_2018,Pan Zhou,msra_phd_fellowship,0.368,0.319,-0.049,0.424,0.276,0.361,0.25,-0.063,-0.026
ds_zhihong_shao,Zhihong Shao,deepseek_v3_author,0.264,0.251,-0.013,0.232,0.316,0.257,0.24,0.025,-0.076
ds_hui_li,Hui Li,deepseek_v3_author,0.183,0.206,0.023,0.177,0.193,0.241,0.15,0.064,-0.043
mid_tier_filmmaker_ava_duvernay,Ava DuVernay,mid_tier_filmmaker,0.885,0.873,-0.012,0.852,0.939,0.85,0.911,-0.002,-0.029
msra_chuhan_wu_2019,Chuhan Wu,msra_phd_fellowship,0.387,0.365,-0.023,0.369,0.418,0.395,0.314,0.027,-0.104
ds_t_wang,T. Wang,deepseek_v3_author,0.139,0.205,0.067,0.151,0.118,0.158,0.283,0.007,0.165
ds_zhean_xu,Zhean Xu,deepseek_v3_author,0.128,0.232,0.103,0.159,0.079,0.26,0.186,0.101,0.107
noi_li_yuliang_2009,Li Yuliang (李宇亮),noi_china_gold,0.292,0.271,-0.021,0.276,0.319,0.383,0.086,0.107,-0.233
mid_tier_politician_anthony_desposito,Anthony D'Esposito,mid_tier_politician,0.395,0.389,-0.005,0.358,0.454,0.4,0.371,0.042,-0.084
cpho_dai_zhehao_2009,Dai Zhehao (戴哲昊),cpho_china_first_prize,0.221,0.331,0.109,0.269,0.143,0.358,0.286,0.089,0.143
ds_zhongyu_zhang,Zhongyu Zhang,deepseek_v3_author,0.151,0.203,0.053,0.19,0.086,0.254,0.12,0.064,0.034
cpho_tan_guoyu_2009,Tan Guoyu (谈国禹),cpho_china_first_prize,0.21,0.178,-0.032,0.268,0.114,0.173,0.186,-0.094,0.071
msra_jun_lang_2008,Jun Lang,msra_phd_fellowship,0.226,0.224,-0.003,0.243,0.2,0.286,0.121,0.043,-0.079
mid_tier_politician_ro_khanna,Ro Khanna,mid_tier_politician,0.366,0.428,0.062,0.364,0.368,0.393,0.484,0.029,0.116
ds_xingkai_yu,Xingkai Yu,deepseek_v3_author,0.175,0.263,0.088,0.217,0.107,0.232,0.314,0.016,0.207
ds_erhang_li,Erhang Li,deepseek_v3_author,0.146,0.249,0.103,0.117,0.193,0.222,0.293,0.105,0.1
ds_ruizhe_pan,Ruizhe Pan,deepseek_v3_author,0.231,0.279,0.049,0.184,0.307,0.267,0.3,0.083,-0.007
noi_ai_yuqing_2012,Ai Yuqing (艾雨青),noi_china_gold,0.411,0.512,0.101,0.453,0.343,0.38,0.729,-0.073,0.386
ds_y_q_wang,Y. Q. Wang,deepseek_v3_author,0.165,0.173,0.008,0.183,0.136,0.197,0.134,0.014,-0.002
suresh_kumar,Suresh Kumar,reference_pilot,0.515,0.463,-0.052,0.467,0.594,0.449,0.486,-0.018,-0.108
cmo_zhou_qiliang_2012,Zhou Qiliang (周琪亮),cmo_china_gold,0.301,0.406,0.105,0.341,0.236,0.384,0.443,0.043,0.207
ds_zizheng_pan,Zizheng Pan,deepseek_v3_author,0.117,0.273,0.156,0.154,0.057,0.27,0.279,0.116,0.221
noi_li_xinye_2009,Li Xinye (李新野),noi_china_gold,0.259,0.336,0.077,0.296,0.199,0.258,0.464,-0.038,0.266
demis_hassabis,Demis Hassabis,reference_pilot,0.664,0.55,-0.114,0.649,0.687,0.519,0.601,-0.13,-0.086
noi_lin_yankai_2009,Lin Yankai (林衍凯),noi_china_gold,0.396,0.426,0.03,0.42,0.357,0.407,0.457,-0.013,0.1
msra_hao_wang_2015,Hao Wang,msra_phd_fellowship,0.411,0.306,-0.105,0.448,0.35,0.307,0.306,-0.141,-0.044
mid_tier_filmmaker_sofia_coppola,Sofia Coppola,mid_tier_filmmaker,0.702,0.785,0.084,0.681,0.736,0.776,0.8,0.095,0.064
cpho_ye_gongcheng_2009,Ye Gongcheng (叶工程),cpho_china_first_prize,0.134,0.097,-0.037,0.159,0.093,0.157,0.0,-0.003,-0.093
noi_li_chao_2012,Li Chao (李超),noi_china_gold,0.511,0.533,0.022,0.519,0.496,0.505,0.579,-0.014,0.082
aaditya_singh,Aaditya Singh,reference_pilot,0.027,0.12,0.093,0.043,0.0,0.149,0.071,0.106,0.071
mid_tier_filmmaker_olivier_assayas,Olivier Assayas,mid_tier_filmmaker,0.673,0.785,0.112,0.733,0.575,0.737,0.864,0.005,0.289
msra_canyi_lu_2014,Canyi Lu,msra_phd_fellowship,0.443,0.424,-0.018,0.457,0.42,0.452,0.379,-0.004,-0.041
cmo_hu_yangzhou_2009,Hu Yangzhou (胡扬舟),cmo_china_gold,0.192,0.276,0.085,0.169,0.229,0.262,0.3,0.093,0.071
ds_jingchang_chen,Jingchang Chen,deepseek_v3_author,0.154,0.215,0.061,0.19,0.093,0.223,0.2,0.033,0.107
andrej_karpathy,Andrej Karpathy,reference_pilot,0.614,0.549,-0.066,0.583,0.665,0.51,0.612,-0.073,-0.053
msra_jingjing_fu_2008,Jingjing Fu,msra_phd_fellowship,0.268,0.257,-0.011,0.3,0.214,0.304,0.179,0.004,-0.036
noi_yao_xuanrong_2012,Yao Xuanrong (姚炫容),noi_china_gold,0.254,0.416,0.162,0.33,0.129,0.422,0.407,0.091,0.279
noi_mao_xiao_2013,Mao Xiao (毛啸),noi_china_gold,0.397,0.524,0.127,0.421,0.357,0.539,0.5,0.118,0.143
cpho_zhang_yongliang_2009,Zhang Yongliang (张涌良),cpho_china_first_prize,0.211,0.158,-0.054,0.24,0.164,0.156,0.161,-0.084,-0.004
cmo_sun_weifeng_2012,Sun Weifeng (孙巍峰),cmo_china_gold,0.369,0.374,0.005,0.42,0.286,0.423,0.293,0.003,0.007
aravind_srinivas,Aravind Srinivas,reference_pilot,0.663,0.621,-0.042,0.603,0.763,0.569,0.707,-0.034,-0.055
cmo_hu_wenlu_2009,Hu Wenlu (胡雯璐),cmo_china_gold,0.192,0.203,0.011,0.208,0.164,0.209,0.193,0.0,0.029
cpho_yang_dong_2009,Yang Dong (杨栋),cpho_china_first_prize,0.212,0.143,-0.069,0.22,0.2,0.157,0.121,-0.063,-0.079
ds_zhenda_xie,Zhenda Xie,deepseek_v3_author,0.241,0.309,0.069,0.228,0.261,0.276,0.364,0.048,0.103
noi_mo_tao_2009,Mo Tao (莫涛),noi_china_gold,0.453,0.453,-0.0,0.472,0.421,0.43,0.489,-0.042,0.068
ds_xuecheng_su,Xuecheng Su,deepseek_v3_author,0.211,0.17,-0.04,0.202,0.225,0.143,0.214,-0.058,-0.011
mid_tier_politician_mike_lawler,Mike Lawler,mid_tier_politician,0.393,0.357,-0.037,0.38,0.415,0.362,0.348,-0.018,-0.068
ds_bingxuan_wang,Bingxuan Wang,deepseek_v3_author,0.258,0.264,0.005,0.25,0.271,0.241,0.3,-0.009,0.029
cmo_luo_zhenhua_2009,Luo Zhenhua (罗振华),cmo_china_gold,0.206,0.294,0.088,0.243,0.144,0.267,0.337,0.024,0.193
cmo_jin_di_2012,Jin Di (金迪),cmo_china_gold,0.307,0.342,0.035,0.302,0.314,0.376,0.286,0.074,-0.029
cpho_zhao_peng_2009,Zhao Peng (赵鹏),cpho_china_first_prize,0.183,0.154,-0.029,0.208,0.143,0.187,0.1,-0.02,-0.043
cpho_li_bocheng_2009,Li Bocheng (李伯诚),cpho_china_first_prize,0.168,0.146,-0.021,0.196,0.121,0.183,0.086,-0.013,-0.036
msra_hiroshi_kajino_2014,Hiroshi Kajino,msra_phd_fellowship,0.324,0.349,0.025,0.373,0.243,0.374,0.307,0.001,0.064
aleksander_madry,Aleksander Madry,reference_pilot,0.825,0.709,-0.116,0.831,0.814,0.678,0.759,-0.153,-0.055
ds_xiaohan_wang,Xiaohan Wang,deepseek_v3_author,0.215,0.29,0.075,0.197,0.244,0.283,0.3,0.086,0.056
noi_guo_jiabao_2009,Guo Jiabao (郭家宝),noi_china_gold,0.375,0.325,-0.05,0.333,0.443,0.34,0.3,0.007,-0.143
adam_fry,Adam Fry,reference_pilot,0.084,0.122,0.038,0.135,0.0,0.196,0.0,0.061,0.0
ds_shuiping_yu,Shuiping Yu,deepseek_v3_author,0.182,0.245,0.064,0.14,0.25,0.269,0.207,0.128,-0.043
msra_hongming_zhang_2019,Hongming Zhang,msra_phd_fellowship,0.382,0.364,-0.018,0.412,0.334,0.321,0.436,-0.091,0.102
wojciech_zaremba,Wojciech Zaremba,reference_pilot,0.499,0.445,-0.055,0.516,0.472,0.452,0.434,-0.064,-0.039
tuixue_online,tuixue.online,reference_pilot,0.25,0.262,0.012,0.198,0.336,0.205,0.354,0.007,0.019
mid_tier_politician_tim_kaine,Tim Kaine,mid_tier_politician,0.3,0.328,0.028,0.276,0.34,0.318,0.345,0.041,0.005
nanogpt,nanoGPT,reference_pilot,0.707,0.639,-0.068,0.672,0.764,0.61,0.686,-0.062,-0.079
ds_yuyang_zhou,Yuyang Zhou,deepseek_v3_author,0.2,0.235,0.035,0.244,0.129,0.273,0.173,0.03,0.044
ds_shaoqing_wu,Shaoqing Wu,deepseek_v3_author,0.188,0.255,0.067,0.169,0.218,0.263,0.241,0.093,0.024
cpho_mou_tong_2009,Mou Tong (牟瞳),cpho_china_first_prize,0.143,0.197,0.055,0.164,0.107,0.217,0.164,0.053,0.057
cpho_he_zijian_2009,He Zijian (贺子剑),cpho_china_first_prize,0.149,0.203,0.054,0.187,0.086,0.192,0.221,0.005,0.136
cmo_lu_yu_2009,Lu Yu (卢雨),cmo_china_gold,0.155,0.227,0.072,0.166,0.136,0.3,0.107,0.134,-0.029
ds_wanjia_zhao,Wanjia Zhao,deepseek_v3_author,0.153,0.217,0.065,0.176,0.114,0.247,0.169,0.071,0.054
noi_du_zhuofan_2013,Du Zhuofan (杜卓帆),noi_china_gold,0.468,0.315,-0.153,0.448,0.5,0.376,0.214,-0.072,-0.286
cmo_zhang_yihao_2012,Zhang Yihao (张逸昊),cmo_china_gold,0.438,0.315,-0.122,0.408,0.486,0.343,0.269,-0.065,-0.217
dario_amodei,Dario Amodei,reference_pilot,0.584,0.501,-0.082,0.556,0.629,0.474,0.546,-0.082,-0.082
langchain,LangChain,reference_pilot,0.502,0.453,-0.05,0.488,0.526,0.459,0.443,-0.03,-0.083
ds_yaofeng_sun,Yaofeng Sun,deepseek_v3_author,0.18,0.272,0.092,0.162,0.211,0.268,0.279,0.106,0.068
alex_wei,Alex Wei,reference_pilot,0.039,0.094,0.056,0.044,0.03,0.09,0.102,0.046,0.072
ds_qinyu_chen,Qinyu Chen,deepseek_v3_author,0.15,0.222,0.072,0.177,0.107,0.245,0.186,0.068,0.079
cpho_yu_qian_2009,Yu Qian (于乾),cpho_china_first_prize,0.156,0.188,0.031,0.182,0.114,0.197,0.171,0.016,0.057
ds_junlong_li,Junlong Li,deepseek_v3_author,0.198,0.281,0.083,0.156,0.268,0.296,0.257,0.14,-0.011
cmo_leng_junsheng_2012,Leng Junsheng (冷俊胜),cmo_china_gold,0.508,0.343,-0.165,0.548,0.443,0.349,0.333,-0.199,-0.11
tianshou,Tianshou,reference_pilot,0.42,0.399,-0.021,0.405,0.444,0.378,0.433,-0.027,-0.011
trevor_blackwell,Trevor Blackwell,reference_pilot,0.431,0.474,0.043,0.473,0.361,0.503,0.426,0.03,0.065
pamela_vagata,Pamela Vagata,reference_pilot,0.184,0.194,0.01,0.185,0.182,0.226,0.142,0.041,-0.04
ds_lecong_zhang,Lecong Zhang,deepseek_v3_author,0.157,0.251,0.095,0.122,0.214,0.235,0.279,0.113,0.064
bojie_li,Bojie Li,reference_pilot,0.09,0.105,0.014,0.119,0.043,0.122,0.076,0.003,0.034
ds_guowei_li,Guowei Li,deepseek_v3_author,0.163,0.254,0.091,0.161,0.166,0.256,0.25,0.095,0.084
ds_fuli_luo,Fuli Luo,deepseek_v3_author,0.148,0.276,0.128,0.143,0.157,0.218,0.371,0.075,0.214
cpho_dai_xiaoliang_2009,Dai Xiaoliang (戴晓亮),cpho_china_first_prize,0.23,0.19,-0.04,0.244,0.207,0.2,0.174,-0.044,-0.033
cmo_he_fan_2012,He Fan (何璠),cmo_china_gold,0.317,0.381,0.063,0.354,0.257,0.417,0.321,0.063,0.064
ds_meng_li,Meng Li,deepseek_v3_author,0.123,0.213,0.091,0.132,0.107,0.21,0.218,0.078,0.111
ds_ziwei_xie,Ziwei Xie,deepseek_v3_author,0.169,0.274,0.105,0.201,0.118,0.254,0.307,0.053,0.189
ds_yuxiang_luo,Yuxiang Luo,deepseek_v3_author,0.138,0.228,0.09,0.115,0.176,0.228,0.228,0.113,0.052
noi_du_yuhao_2013,Du Yuhao (杜瑜皓),noi_china_gold,0.638,0.623,-0.015,0.604,0.693,0.568,0.714,-0.037,0.021
ds_xiaowen_sun,Xiaowen Sun,deepseek_v3_author,0.136,0.255,0.119,0.128,0.15,0.263,0.243,0.135,0.093
cmo_yu_chendi_2009,Yu Chendi (余晨迪),cmo_china_gold,0.215,0.265,0.049,0.264,0.136,0.244,0.298,-0.02,0.162
cpho_li_kan_2009,Li Kan (历侃),cpho_china_first_prize,0.171,0.147,-0.024,0.227,0.079,0.171,0.107,-0.057,0.029
cmo_wu_mengxi_2010,Wu Mengxi (吴梦希),cmo_china_gold,0.299,0.228,-0.071,0.276,0.336,0.271,0.157,-0.005,-0.179
cpho_zhong_ding_2009,Zhong Ding (钟顶),cpho_china_first_prize,0.161,0.172,0.011,0.2,0.097,0.216,0.1,0.016,0.003
ds_shanghao_lu,Shanghao Lu,deepseek_v3_author,0.149,0.246,0.097,0.187,0.086,0.252,0.236,0.065,0.15
ds_xin_liu,Xin Liu,deepseek_v3_author,0.17,0.231,0.062,0.15,0.203,0.211,0.264,0.062,0.061
ds_yi_yu,Yi Yu,deepseek_v3_author,0.116,0.222,0.106,0.156,0.05,0.252,0.173,0.096,0.123
logan_kilpatrick,Logan Kilpatrick,reference_pilot,0.768,0.676,-0.092,0.783,0.743,0.643,0.729,-0.139,-0.014
ds_xiaokang_zhang,Xiaokang Zhang,deepseek_v3_author,0.191,0.224,0.033,0.181,0.207,0.251,0.179,0.07,-0.029
cpho_cao_chuanwu_2009,Cao Chuanwu (曹传午),cpho_china_first_prize,0.205,0.209,0.004,0.252,0.129,0.231,0.171,-0.02,0.043
ds_ning_tian,Ning Tian,deepseek_v3_author,0.137,0.232,0.095,0.123,0.161,0.269,0.171,0.147,0.01
cpho_ye_shuhao_2009,Ye Shuhao (叶舒豪),cpho_china_first_prize,0.199,0.24,0.041,0.216,0.171,0.299,0.143,0.083,-0.029
msra_lu_wang_2010,Lu Wang,msra_phd_fellowship,0.26,0.253,-0.007,0.225,0.318,0.285,0.2,0.06,-0.118
cmo_xiao_yikang_2010,Xiao Yikang (肖伊康),cmo_china_gold,0.352,0.287,-0.064,0.296,0.443,0.275,0.307,-0.021,-0.136
cmo_zheng_zhiwei_2009,Zheng Zhiwei (郑志伟),cmo_china_gold,0.207,0.221,0.014,0.22,0.186,0.217,0.229,-0.003,0.043
noi_wu_yi_2009,Wu Yi (吴翼),noi_china_gold,0.36,0.401,0.041,0.336,0.4,0.388,0.421,0.052,0.021
ds_jiashi_li,Jiashi Li,deepseek_v3_author,0.139,0.187,0.048,0.134,0.148,0.246,0.091,0.111,-0.056
ds_xianzu_wang,Xianzu Wang,deepseek_v3_author,0.173,0.204,0.03,0.161,0.193,0.205,0.201,0.043,0.009
mid_tier_politician_christopher_luxon,Christopher Luxon,mid_tier_politician,0.352,0.318,-0.034,0.316,0.413,0.316,0.321,0.0,-0.091
cpho_chen_si_2009,Chen Si (陈思),cpho_china_first_prize,0.161,0.18,0.019,0.198,0.1,0.155,0.221,-0.043,0.121
ds_wenfeng_liang,Wenfeng Liang,deepseek_v3_author,0.229,0.271,0.042,0.243,0.207,0.29,0.24,0.048,0.033
cmo_wang_yuchen_2012,Wang Yuchen (王宇辰),cmo_china_gold,0.435,0.413,-0.022,0.421,0.457,0.412,0.414,-0.009,-0.043
msra_yang_cao_2012,Yang Cao,msra_phd_fellowship,0.284,0.279,-0.005,0.355,0.167,0.288,0.266,-0.067,0.099
ds_zehui_ren,Zehui Ren,deepseek_v3_author,0.229,0.216,-0.012,0.258,0.181,0.241,0.176,-0.017,-0.005
ds_liang_zhao,Liang Zhao,deepseek_v3_author,0.125,0.207,0.082,0.136,0.107,0.217,0.189,0.082,0.082
cpho_zhou_an_2009,Zhou An (周安),cpho_china_first_prize,0.133,0.146,0.013,0.153,0.1,0.165,0.114,0.012,0.014
