country,n,mean,median,sd,frac_above_0_5
Israel,7,0.506,0.528,0.081,0.571
Singapore,7,0.497,0.48,0.142,0.429
Sweden,5,0.492,0.49,0.077,0.4
Germany,9,0.49,0.488,0.092,0.444
Switzerland,4,0.489,0.467,0.114,0.5
Canada,9,0.478,0.463,0.114,0.222
USA,302,0.46,0.488,0.146,0.464
Netherlands,9,0.447,0.432,0.114,0.333
UK,16,0.438,0.44,0.112,0.375
Hong Kong,11,0.431,0.452,0.118,0.364
Portugal,5,0.427,0.442,0.1,0.2
Brazil,10,0.388,0.409,0.108,0.1
Other/Unknown,236,0.375,0.381,0.121,0.161
Australia,11,0.341,0.291,0.154,0.182
France,3,0.312,0.341,0.082,0.0
China,30,0.311,0.285,0.111,0.067
Spain,8,0.303,0.288,0.1,0.125
India,10,0.292,0.279,0.094,0.0
