entity_id,entity_name,cohort,western_mean,chinese_mean,delta_chinese_minus_western,abs_delta
bojie_li,Bojie Li,reference_pilot,0.1191,0.0425,-0.0766,0.0766
jiayi_weng,Jiayi Weng,reference_pilot,0.3522,0.2964,-0.0557,0.0557
tianshou,Tianshou,reference_pilot,0.4052,0.4436,0.0384,0.0384
tuixue_online,tuixue.online,reference_pilot,0.1978,0.3357,0.1379,0.1379
ikp,IKP (Incompressible Knowledge Probes),reference_pilot,0.0891,0.0929,0.0037,0.0037
tri_dao,Tri Dao,reference_pilot,0.5002,0.5843,0.0841,0.0841
andrej_karpathy,Andrej Karpathy,reference_pilot,0.5835,0.665,0.0815,0.0815
suresh_kumar,Suresh Kumar,reference_pilot,0.4672,0.5943,0.1271,0.1271
pamela_vagata,Pamela Vagata,reference_pilot,0.1852,0.1821,-0.0031,0.0031
sam_altman,Sam Altman,reference_pilot,0.593,0.6371,0.0441,0.0441
geoffrey_hinton,Geoffrey Hinton,reference_pilot,0.5991,0.6429,0.0437,0.0437
yann_lecun,Yann LeCun,reference_pilot,0.7187,0.8193,0.1006,0.1006
demis_hassabis,Demis Hassabis,reference_pilot,0.6491,0.6871,0.038,0.038
dario_amodei,Dario Amodei,reference_pilot,0.5561,0.6286,0.0725,0.0725
mira_murati,Mira Murati,reference_pilot,0.3883,0.5293,0.141,0.141
greg_brockman,Greg Brockman,reference_pilot,0.5378,0.6014,0.0636,0.0636
aravind_srinivas,Aravind Srinivas,reference_pilot,0.603,0.7626,0.1595,0.1595
aman_sanger,Aman Sanger,reference_pilot,0.2765,0.3107,0.0342,0.0342
lilian_weng,Lilian Weng,reference_pilot,0.6535,0.485,-0.1685,0.1685
simon_willison,Simon Willison,reference_pilot,0.5678,0.6364,0.0686,0.0686
chris_olah,Chris Olah,reference_pilot,0.7357,0.9179,0.1822,0.1822
harrison_chase,Harrison Chase,reference_pilot,0.4535,0.52,0.0665,0.0665
logan_kilpatrick,Logan Kilpatrick,reference_pilot,0.7826,0.7429,-0.0398,0.0398
wojciech_zaremba,Wojciech Zaremba,reference_pilot,0.5159,0.4725,-0.0434,0.0434
trevor_blackwell,Trevor Blackwell,reference_pilot,0.473,0.3614,-0.1116,0.1116
vicki_cheung,Vicki Cheung,reference_pilot,0.34,0.2343,-0.1057,0.1057
flashattention,FlashAttention,reference_pilot,0.5639,0.6779,0.114,0.114
react_paper,ReAct,reference_pilot,0.5874,0.5629,-0.0245,0.0245
langchain,LangChain,reference_pilot,0.4883,0.5257,0.0375,0.0375
vllm,vLLM,reference_pilot,0.4622,0.6343,0.1721,0.1721
nanogpt,nanoGPT,reference_pilot,0.6717,0.7643,0.0925,0.0925
aaditya_singh,Aaditya Singh,reference_pilot,0.043,0.0,-0.043,0.043
adam_fry,Adam Fry,reference_pilot,0.1348,0.0,-0.1348,0.1348
aj_ostrow,AJ Ostrow,reference_pilot,0.1261,0.0,-0.1261,0.1261
aleksander_madry,Aleksander Madry,reference_pilot,0.8313,0.8143,-0.017,0.017
alex_wei,Alex Wei,reference_pilot,0.0439,0.03,-0.0139,0.0139
andrea_vallone,Andrea Vallone,reference_pilot,0.0783,0.0714,-0.0068,0.0068
imo_dongyi_wei,Dongyi Wei,imo_gold,0.4383,0.4143,-0.024,0.024
imo_zhiwei_zheng,Zhiwei Zheng,imo_gold,0.5257,0.3214,-0.2042,0.2042
imo_fan_zheng,Fan Zheng,imo_gold,0.437,0.4357,-0.0012,0.0012
imo_yanlin_zhao,Yanlin Zhao,imo_gold,0.4287,0.3036,-0.1251,0.1251
imo_sampson_wong,Sampson Wong,imo_gold,0.3835,0.3929,0.0094,0.0094
imo_hsinpo_wang,Hsin-Po Wang,imo_gold,0.5361,0.3629,-0.1732,0.1732
imo_teodor_von_burg,Teodor von Burg,imo_gold,0.4261,0.6514,0.2253,0.2253
imo_bogdan_veklych,Bogdan Veklych,imo_gold,0.3896,0.2136,-0.176,0.176
imo_umut_varolgunes,Umut Varolgüneş,imo_gold,0.4713,0.2864,-0.1849,0.1849
imo_konstantin_tyshchuk,Konstantin Tyshchuk,imo_gold,0.3948,0.2357,-0.1591,0.1591
imo_istvan_tomon,István Tomon,imo_gold,0.6,0.5107,-0.0893,0.0893
imo_motoki_takigiku,Motoki Takigiku,imo_gold,0.3217,0.2143,-0.1075,0.1075
imo_artsiom_toyestseu,Artsiom Toyestseu,imo_gold,0.3313,0.2429,-0.0884,0.0884
imo_makoto_soejima,Makoto Soejima,imo_gold,0.4722,0.425,-0.0472,0.0472
imo_xiaolin_danny_shi,Xiaolin (Danny) Shi,imo_gold,0.4965,0.4586,-0.038,0.038
imo_nazar_serdyuk,Nazar Serdyuk,imo_gold,0.4091,0.3021,-0.107,0.107
imo_vitaliy_senin,Vitaliy Senin,imo_gold,0.4543,0.2893,-0.1651,0.1651
imo_lisa_sauermann,Lisa Sauermann,imo_gold,0.7683,0.8507,0.0825,0.0825
imo_suthee_ruangwises,Suthee Ruangwises,imo_gold,0.4396,0.3857,-0.0539,0.0539
imo_un_song_ri,Un Song Ri,imo_gold,0.3374,0.2714,-0.066,0.066
imo_yong_hyon_ri,Yong Hyon Ri,imo_gold,0.3139,0.35,0.0361,0.0361
imo_henrique_ponde_de_oliveira_pinto,Henrique Pondé de Oliveira Pinto,imo_gold,0.3913,0.4679,0.0766,0.0766
imo_elena_madalina_persu,Elena Mădălina Persu,imo_gold,0.3578,0.3414,-0.0164,0.0164
imo_giovanni_paolini,Giovanni Paolini,imo_gold,0.4648,0.4536,-0.0112,0.0112
imo_lyuboslav_nikolaev_panchev,Lyuboslav Nikolaev Panchev,imo_gold,0.3087,0.1993,-0.1094,0.1094
imo_victor_omelyanenko,Victor Omelyanenko,imo_gold,0.3326,0.2237,-0.1089,0.1089
imo_akio_kishikawa,Akio Kishikawa,imo_gold,0.2339,0.1286,-0.1053,0.1053
imo_h_khng_duy,Hà Khương Duy,imo_gold,0.3365,0.2114,-0.1251,0.1251
imo_jong_chol_kim,Jong Chol Kim,imo_gold,0.333,0.4286,0.0955,0.0955
imo_khashayar_khosravi,Khashayar Khosravi,imo_gold,0.4717,0.5029,0.0311,0.0311
imo_tae_gu_kang,Tae Gu Kang,imo_gold,0.3887,0.4321,0.0434,0.0434
imo_jiaoyang_huang,Jiaoyang Huang,imo_gold,0.6009,0.4043,-0.1966,0.1966
imo_kazuhiro_hosaka,Kazuhiro Hosaka,imo_gold,0.4113,0.2143,-0.197,0.197
imo_hyun_sub_hwang,Hyun Sub Hwang,imo_gold,0.4217,0.2214,-0.2003,0.2003
imo_shiro_imamura,Shiro Imamura,imo_gold,0.1861,0.1071,-0.0789,0.0789
imo_eric_larson,Eric Larson,imo_gold,0.6261,0.5643,-0.0618,0.0618
imo_andrea_fogari,Andrea Fogari,imo_gold,0.3852,0.2143,-0.1709,0.1709
imo_andrew_elvey_price,Andrew Elvey Price,imo_gold,0.5296,0.5214,-0.0081,0.0081
imo_omer_cerrahoglu,Omer Cerrahoglu,imo_gold,0.343,0.3336,-0.0095,0.0095
imo_phm_dc_hng,Phạm Đức Hùng,imo_gold,0.4026,0.4304,0.0277,0.0277
imo_vladimir_bragin,Vladimir Bragin,imo_gold,0.4022,0.2929,-0.1093,0.1093
imo_john_berman,John Berman,imo_gold,0.2604,0.02,-0.2404,0.2404
imo_bo_lin,Bo Lin,imo_gold,0.3722,0.3571,-0.015,0.015
imo_sang_hoon_lee,Sang Hoon Lee,imo_gold,0.3696,0.3343,-0.0353,0.0353
imo_marsel_matdinov,Marsel Matdinov,imo_gold,0.1804,0.2821,0.1017,0.1017
imo_sureyya_emre_kurt,Süreyya Emre Kurt,imo_gold,0.4026,0.2879,-0.1148,0.1148
imo_tak_wing_ching,Tak Wing Ching,imo_gold,0.3187,0.1186,-0.2001,0.2001
imo_min_zhang,Min Zhang,imo_gold,0.3787,0.1928,-0.1859,0.1859
imo_yikang_xiao,Yikang Xiao,imo_gold,0.3943,0.4071,0.0128,0.0128
imo_martin_vodicka,Martin Vodička,imo_gold,0.5117,0.3743,-0.1375,0.1375
imo_melih_ucer,Melih Üçer,imo_gold,0.4891,0.3536,-0.1356,0.1356
imo_piotr_suwara,Piotr Suwara,imo_gold,0.4278,0.4093,-0.0185,0.0185
imo_jun_su,Jun Su,imo_gold,0.3343,0.3857,0.0514,0.0514
imo_hunter_spink,Hunter Spink,imo_gold,0.5765,0.5243,-0.0522,0.0522
imo_sanghun_song,Sanghun Song,imo_gold,0.4052,0.3393,-0.0659,0.0659
imo_kanat_satylkhanov,Kanat Satylkhanov,imo_gold,0.4809,0.315,-0.1659,0.1659
imo_nipun_pitimanaaree,Nipun Pitimanaaree,imo_gold,0.5304,0.3379,-0.1926,0.1926
imo_denis_ovchinnikov,Denis Ovchinnikov,imo_gold,0.3522,0.1571,-0.195,0.195
imo_evan_odorney,Evan O'Dorney,imo_gold,0.51,0.5936,0.0836,0.0836
imo_zipei_nie,Zipei Nie,imo_gold,0.4417,0.4357,-0.006,0.006
imo_nguyn_ngc_trung,Nguyễn Ngọc Trung,imo_gold,0.327,0.3243,-0.0027,0.0027
imo_janos_nagy,János Nagy,imo_gold,0.3091,0.2786,-0.0306,0.0306
imo_donat_nagy,Donát Nagy,imo_gold,0.4226,0.2886,-0.134,0.134
imo_vasily_mokin,Vasily Mokin,imo_gold,0.3139,0.2286,-0.0853,0.0853
imo_li_lai,Li Lai,imo_gold,0.3735,0.2857,-0.0878,0.0878
imo_jialun_li,Jialun Li,imo_gold,0.4596,0.42,-0.0396,0.0396
imo_bumsoo_kim,Bumsoo Kim,imo_gold,0.3074,0.4286,0.1212,0.1212
imo_nursultan_khadjimuratov,Nursultan Khadjimuratov,imo_gold,0.2843,0.1571,-0.1272,0.1272
imo_szymon_kanonowicz,Szymon Kanonowicz,imo_gold,0.3109,0.2593,-0.0516,0.0516
imo_junhwa_jung,Junhwa Jung,imo_gold,0.4252,0.4143,-0.0109,0.0109
imo_stefan_adrian_ivanovici,Štefan Adrian Ivanovici,imo_gold,0.2383,0.2429,0.0046,0.0046
imo_shutaro_inoue,Shutaro Inoue,imo_gold,0.293,0.2857,-0.0073,0.0073
imo_shiangchih_hua,Shiang-Chih Hua,imo_gold,0.4365,0.2136,-0.223,0.223
