entity_id,entity_name,cohort,n_models,namerank,namerank_sd,refusal_rate,embedding_sim_mean
artifact_mixtral_8x7b,Mixtral 8x7B,foundation_model,36,0.8611,,0.083,0.776
ikp_t67_jihoon_cho,Jihoon Cho,long_tail_researcher_ikp,36,0.0556,,0.583,0.587
cmo_xiao_yikang_2010,Xiao Yikang (肖伊康),cmo_china_gold,36,0.0833,,0.639,0.567
cmo_zhu_zirun_2012,Zhu Zirun (朱子润),cmo_china_gold,36,0.0556,,0.722,0.521
syn_mid_chef_celestin_rouvenaz,Célestin Rouvenaz,synthetic_mid_tier_chef_v2,36,0.0556,,0.694,0.514
noi_wu_yi_2009,Wu Yi (吴翼),noi_china_gold,36,0.1667,,0.528,0.576
mid_tier_writer_margret_holmes_bates,Margret Holmes Bates,mid_tier_writer,36,0.1667,,0.5,0.552
oa_paper_a_method_for_the_analytical_extraction_of_the_sing,A Method for the Analytical Extraction of the Single-Diode PV Model Parameters,long_tail_paper,36,0.0833,,0.472,0.7
oa_paper_learning_nonlinear_operators_via_deeponet_based_on,Learning nonlinear operators via DeepONet based on the universal approximation theorem of operators,long_tail_paper,36,0.8333,,0.083,0.856
gpt5_reah_miyara,Reah Miyara,gpt5_system_card_author,36,0.1111,,0.639,0.573
gpt5_borys_minaiev,Borys Minaiev,gpt5_system_card_author,36,0.1944,,0.583,0.606
imo_vadym_kalashnykov,Vadym Kalashnykov,imo_gold,36,0.0,,0.528,0.67
oa_paper_social_presence_in_virtual_world_collaboration_an_,Social Presence in Virtual World Collaboration: An Uncertainty Reduction Perspective Using a Mixed Methods Approach1,long_tail_paper,36,0.0278,,0.444,0.701
cpho_cao_chuanwu_2009,Cao Chuanwu (曹传午),cpho_china_first_prize,36,0.0,,0.722,0.515
ikp_t67_meni_orenbach,Meni Orenbach,long_tail_researcher_ikp,36,0.2222,,0.389,0.666
ikp_t67_jasper_ruehl,Jasper Ruehl,long_tail_researcher_ikp,36,0.0278,,0.694,0.556
msra_gae_won_you_2010,Gae-won You,msra_phd_fellowship,36,0.0278,,0.722,0.537
imo_jingwen_chen,Jingwen Chen,imo_gold,36,0.0833,,0.472,0.627
rhodes_2017_ahmed_m_ahmed,Ahmed M. Ahmed,rhodes_scholar,36,0.0556,,0.722,0.453
imo_hi_dang_du,Hải Đăng Đậu,imo_gold,36,0.1111,,0.472,0.641
msra_yuxiang_yang_2017,Yuxiang Yang,msra_phd_fellowship,36,0.1111,,0.583,0.576
msra_yifei_don_2008,Yifei Don,msra_phd_fellowship,36,0.0,,0.694,0.458
msra_jianping_shi_2013,Jianping Shi,msra_phd_fellowship,36,0.3333,,0.333,0.616
oa_paper_challenging_games_help_students_learn_an_empirical,"Challenging games help students learn: An empirical study on engagement, flow and immersion in game-based learning",long_tail_paper,36,0.2222,,0.389,0.688
