model_id,vendor,class,n_records,recognition_rate,refusal_rate
claude-fable-5-think,anthropic,western,4729,0.737,0.047
claude-opus-4.6-think,anthropic,western,4730,0.636,0.231
claude-sonnet-4.6-think,anthropic,western,4730,0.62,0.105
deepseek-v3.2-think,deepseek,chinese,4730,0.582,0.178
deepseek-v4-flash-think,deepseek,chinese,4730,0.586,0.295
deepseek-v4-pro-think,deepseek,chinese,4730,0.669,0.184
gemini-2.5-pro-think,google,western,4730,0.653,0.047
gemini-3-flash-think,google,western,4730,0.784,0.046
gemini-3.1-pro,google,western,4730,0.708,0.238
gemma-3-12b,google,western,4730,0.359,0.186
gemma-3-4b,google,western,4730,0.268,0.001
gemma-4-31b,google,western,4730,0.366,0.242
glm-4.7-think,zhipu,chinese,4730,0.577,0.227
glm-5.1-think,zhipu,chinese,4730,0.6,0.297
glm-5.2-think,zhipu,chinese,4730,0.603,0.281
gpt-5.3,openai,western,4730,0.517,0.423
gpt-5.4,openai,western,4730,0.51,0.311
gpt-5.5-think,openai,western,4730,0.652,0.175
gpt-oss-20b-think,openai,western,4730,0.242,0.572
kimi-k2.6-think,moonshot,chinese,4730,0.539,0.407
kimi-k2.7-code-think,moonshot,chinese,4730,0.553,0.322
llama-3.1-8b,meta,western,4730,0.321,0.029
llama-3.3-70b,meta,western,4730,0.408,0.08
llama-4-maverick,meta,western,4730,0.5,0.001
minimax-m2.7-think,minimax,chinese,4730,0.386,0.51
minimax-m3-think,minimax,chinese,4730,0.512,0.276
mistral-small-24b,mistral,western,4730,0.299,0.531
nemotron-3-nano-30b-think,nvidia,western,4730,0.303,0.429
nemotron-3-ultra-think,nvidia,western,4730,0.491,0.423
phi-4,microsoft,western,4730,0.302,0.0
qwen3-235b-a22b-think,alibaba,chinese,4730,0.389,0.442
qwen3-32b-think,alibaba,chinese,4730,0.304,0.33
qwen3-8b-think,alibaba,chinese,4730,0.26,0.332
qwen3.5-397b-a17b-think,alibaba,chinese,4730,0.558,0.03
qwen3.7-max-think,alibaba,chinese,4730,0.595,0.288
step-3.7-flash-think,stepfun,chinese,4730,0.481,0.351
