entity_id,cohort,gold_chars,gold_words,gold_named_facts,gold_sentences
imo_dongyi_wei,imo_gold,363,51,3,3
imo_zhiwei_zheng,imo_gold,365,51,3,3
imo_fan_zheng,imo_gold,362,51,3,3
imo_yanlin_zhao,imo_gold,364,51,3,3
imo_sampson_wong,imo_gold,369,51,3,3
imo_hsinpo_wang,imo_gold,372,52,3,3
imo_teodor_von_burg,imo_gold,387,55,2,3
imo_bogdan_veklych,imo_gold,375,52,3,3
imo_umut_varolgunes,imo_gold,370,51,2,3
imo_konstantin_tyshchuk,imo_gold,373,51,3,3
imo_istvan_tomon,imo_gold,367,51,2,3
imo_motoki_takigiku,imo_gold,368,51,3,3
imo_artsiom_toyestseu,imo_gold,372,51,3,3
imo_makoto_soejima,imo_gold,367,51,3,3
imo_xiaolin_danny_shi,imo_gold,373,52,2,3
imo_nazar_serdyuk,imo_gold,368,51,3,3
imo_vitaliy_senin,imo_gold,368,51,3,3
imo_lisa_sauermann,imo_gold,381,53,3,3
imo_suthee_ruangwises,imo_gold,373,51,3,3
imo_un_song_ri,imo_gold,367,53,4,3
imo_yong_hyon_ri,imo_gold,369,53,4,3
imo_henrique_ponde_de_oliveira_pinto,imo_gold,386,54,3,3
imo_elena_madalina_persu,imo_gold,375,52,2,3
imo_giovanni_paolini,imo_gold,369,51,3,3
imo_lyuboslav_nikolaev_panchev,imo_gold,388,53,3,3
imo_victor_omelyanenko,imo_gold,378,52,3,3
imo_akio_kishikawa,imo_gold,373,52,3,3
imo_h_khng_duy,imo_gold,368,52,2,3
imo_jong_chol_kim,imo_gold,370,53,4,3
imo_khashayar_khosravi,imo_gold,370,51,3,3
imo_tae_gu_kang,imo_gold,364,52,3,3
imo_jiaoyang_huang,imo_gold,367,51,3,3
imo_kazuhiro_hosaka,imo_gold,368,51,3,3
imo_hyun_sub_hwang,imo_gold,367,52,3,3
imo_shiro_imamura,imo_gold,366,51,3,3
imo_eric_larson,imo_gold,362,51,3,3
imo_andrea_fogari,imo_gold,366,51,3,3
imo_andrew_elvey_price,imo_gold,375,52,3,3
imo_omer_cerrahoglu,imo_gold,376,52,3,3
imo_phm_dc_hng,imo_gold,368,52,2,3
imo_vladimir_bragin,imo_gold,369,51,3,3
imo_john_berman,imo_gold,362,51,3,3
imo_bo_lin,imo_gold,359,51,3,3
imo_sang_hoon_lee,imo_gold,372,53,3,3
imo_marsel_matdinov,imo_gold,375,52,3,3
imo_sureyya_emre_kurt,imo_gold,372,52,3,3
imo_tak_wing_ching,imo_gold,383,55,4,3
imo_min_zhang,imo_gold,362,51,3,3
imo_yikang_xiao,imo_gold,364,51,3,3
imo_martin_vodicka,imo_gold,376,52,2,3
imo_melih_ucer,imo_gold,365,51,2,3
imo_piotr_suwara,imo_gold,366,51,3,3
imo_jun_su,imo_gold,359,51,3,3
imo_hunter_spink,imo_gold,366,51,3,3
imo_sanghun_song,imo_gold,365,51,3,3
imo_kanat_satylkhanov,imo_gold,375,51,3,3
imo_nipun_pitimanaaree,imo_gold,392,54,3,3
imo_denis_ovchinnikov,imo_gold,375,51,3,3
imo_evan_odorney,imo_gold,370,52,2,3
imo_zipei_nie,imo_gold,362,51,3,3
imo_nguyn_ngc_trung,imo_gold,372,52,2,3
imo_janos_nagy,imo_gold,365,51,2,3
imo_donat_nagy,imo_gold,365,51,2,3
imo_vasily_mokin,imo_gold,366,51,3,3
imo_li_lai,imo_gold,359,51,3,3
imo_jialun_li,imo_gold,362,51,3,3
imo_bumsoo_kim,imo_gold,363,51,3,3
imo_nursultan_khadjimuratov,imo_gold,381,51,3,3
imo_szymon_kanonowicz,imo_gold,371,51,3,3
imo_junhwa_jung,imo_gold,364,51,3,3
imo_stefan_adrian_ivanovici,imo_gold,378,52,3,3
imo_shutaro_inoue,imo_gold,366,51,3,3
imo_shiangchih_hua,imo_gold,375,52,3,3
imo_xiaoyu_he,imo_gold,366,52,3,3
imo_benjamin_gunby,imo_gold,371,52,3,3
imo_luca_ghidelli,imo_gold,366,51,3,3
imo_jose_gustavo_garcia_sulca,imo_gold,377,53,2,3
imo_mathias_bk_tejs_knudsen,imo_gold,379,53,3,3
imo_radu_bumbacea,imo_gold,374,52,2,3
imo_aaron_wan_yau_chong,imo_gold,376,53,3,3
imo_robin_cheng,imo_gold,365,51,3,3
imo_felix_drxler,imo_gold,368,51,2,3
imo_stanislav_erokhin,imo_gold,371,51,3,3
imo_george_arzeno,imo_gold,372,52,4,3
imo_ariel_zylber,imo_gold,369,51,3,3
imo_tianyou_zhou,imo_gold,365,51,3,3
imo_kensuke_yoshida,imo_gold,368,51,3,3
imo_bowen_yao,imo_gold,362,51,3,3
imo_wijit_yangjit,imo_gold,369,51,3,3
imo_david_yang,imo_gold,367,52,3,3
imo_mengxi_wu,imo_gold,362,51,3,3
imo_georgios_vlachos,imo_gold,370,51,3,3
imo_miguel_martins_dos_santos,imo_gold,387,54,3,3
imo_kyrylo_myliarchyk,imo_gold,372,51,3,3
imo_sung_gi_park,imo_gold,365,52,3,3
imo_alexey_pakharev,imo_gold,369,51,3,3
imo_mikhail_grigorev,imo_gold,376,52,3,3
imo_zichao_long,imo_gold,364,51,3,3
imo_jeck_lim,imo_gold,377,53,3,3
imo_jun_jie_joseph_kuan,imo_gold,376,53,3,3
imo_yau_wing_li,imo_gold,368,53,4,3
imo_mitchell_lee,imo_gold,369,52,3,3
imo_takuma_kitamura,imo_gold,368,51,3,3
imo_zhaorong_jin,imo_gold,365,51,3,3
imo_teodor_jerzak,imo_gold,367,51,3,3
imo_lin_chen,imo_gold,361,51,3,3
imo_raul_arturo_chavez_sarmiento,imo_gold,380,53,2,3
imo_jaewon_chang,imo_gold,371,52,3,3
imo_andrew_carlotti,imo_gold,389,54,4,3
imo_wenyu_cao,imo_gold,360,51,3,3
imo_filip_borowiec,imo_gold,368,51,3,3
imo_andrea_bianchi,imo_gold,367,51,3,3
imo_jie_jun_ang,imo_gold,368,52,3,3
imo_ufuk_kanat,imo_gold,365,51,3,3
imo_mojtaba_shokrian_zini,imo_gold,373,52,3,3
imo_so_min_mun,imo_gold,367,53,4,3
imo_hak_myong_mun,imo_gold,370,53,4,3
imo_mehmet_sonmez,imo_gold,374,52,2,3
imo_zhuo_qun_alex_song,imo_gold,386,55,3,3
imo_how_si_yu,imo_gold,365,52,3,3
imo_chong_hong_song,imo_gold,372,53,4,3
imo_akashnil_dutta,imo_gold,367,51,3,3
imo_rom_dudkiewicz,imo_gold,368,51,3,3
imo_octav_dragoi,imo_gold,367,51,2,3
imo_yue_ding,imo_gold,365,51,3,3
imo_mina_dalirrooyfard,imo_gold,376,52,3,3
imo_chung_song_hong,imo_gold,384,55,4,3
imo_mehmet_efe_akengin,imo_gold,379,53,3,3
imo_james_aaronson,imo_gold,376,52,4,3
imo_bobby_shen,imo_gold,367,52,3,3
imo_dong_ryul_kim,imo_gold,372,53,3,3
imo_haoyu_wang,imo_gold,363,51,3,3
imo_hao_zuo,imo_gold,360,51,3,3
imo_hao_wu,imo_gold,359,51,3,3
imo_yiyang_she,imo_gold,363,51,3,3
imo_jingwen_chen,imo_gold,365,51,3,3
imo_bogdan_stankov,imo_gold,370,51,3,3
imo_thomas_swayze,imo_gold,364,51,3,3
imo_ravi_jagadeeshan,imo_gold,367,51,3,3
imo_diego_alonso_roque_montoya,imo_gold,380,53,3,3
imo_panagiotis_lolas,imo_gold,370,51,3,3
imo_jeroen_huijben,imo_gold,373,51,3,3
imo_jetze_zoethout,imo_gold,373,51,3,3
imo_rodrigo_sanches_angelo,imo_gold,376,52,3,3
imo_pedram_safaee,imo_gold,365,51,3,3
imo_alek_bedroya,imo_gold,370,52,3,3
imo_debdyuti_banerjee,imo_gold,370,51,3,3
imo_prafulla_susil_dhariwal,imo_gold,376,52,3,3
imo_calvin_deng,imo_gold,371,52,3,3
imo_matthew_brennan,imo_gold,369,51,3,3
imo_dmitry_krachun,imo_gold,374,52,3,3
imo_aleksandr_kalmynin,imo_gold,372,51,3,3
imo_daniil_kliuev,imo_gold,367,51,3,3
imo_chong_luck_ryan_kor,imo_gold,376,53,3,3
imo_pakawut_jiradilok,imo_gold,373,51,3,3
imo_jirawat_anunrojwong,imo_gold,375,51,3,3
imo_hi_dang_du,imo_gold,367,52,2,3
imo_turbat_enkhbayar,imo_gold,372,51,3,3
imo_hanwool_moon,imo_gold,365,51,3,3
imo_sung_jin_park,imo_gold,372,53,3,3
imo_tae_hwan_park,imo_gold,366,52,3,3
imo_brian_chen,imo_gold,364,51,3,3
imo_domagoj_evid,imo_gold,374,52,2,3
imo_kwang_choe,imo_gold,367,52,4,3
imo_lingfu_zhang,imo_gold,365,51,3,3
imo_posheng_wu,imo_gold,365,51,3,3
imo_victor_wang,imo_gold,362,51,3,3
imo_james_tao,imo_gold,360,51,3,3
imo_omri_nisan_solan,imo_gold,370,52,3,3
imo_stephen_sanjaya,imo_gold,372,51,3,3
imo_stpan_simsa,imo_gold,374,52,3,3
imo_mark_sellke,imo_gold,362,51,3,3
imo_lev_shabanov,imo_gold,366,51,3,3
imo_aliaksei_semchankau,imo_gold,374,51,3,3
imo_aref_sadeghi,imo_gold,364,51,3,3
imo_yutao_liu,imo_gold,362,51,3,3
imo_xiao_liu,imo_gold,361,51,3,3
imo_tingchun_lin,imo_gold,367,51,3,3
imo_yuxuan_liao,imo_gold,364,51,3,3
imo_jongwon_lee,imo_gold,364,51,3,3
imo_jihyon_pak,imo_gold,367,52,4,3
imo_miguel_miranda_ribeiro_moreira,imo_gold,386,53,3,3
imo_se_hyun_ji,imo_gold,363,52,3,3
imo_eunsoo_jee,imo_gold,363,51,3,3
