imo_entity_id,imo_gold_chars,imo_namerank,partner_entity_id,partner_gold_chars,partner_namerank,delta_chars,delta_namerank_imo_minus_partner,match_kind
imo_fan_zheng,362,0.4365,oa_author_jian_zhang,662,0.3259,-300,0.11059999999999998,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_thnh_trung_cn_trn,375,0.2605,oa_author_timnit_gebru,666,0.2936,-291,-0.03310000000000002,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_makoto_soejima,367,0.4543,oa_author_alex_perelygin,668,0.0689,-301,0.38539999999999996,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_miguel_martins_dos_santos,387,0.1928,oa_author_rob_rubin,673,0.1173,-286,0.0755,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_sampson_wong,369,0.387,oa_author_konstantin_lopyrev,676,0.1564,-307,0.2306,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_panagiotis_lolas,370,0.4259,oa_author_qiong_cao,677,0.4938,-307,-0.06790000000000002,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_jaewon_chang,371,0.2692,oa_author_pranav_rajpurkar,677,0.3665,-306,-0.0973,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_james_aaronson,376,0.3028,oa_author_edzer_pebesma,677,0.6711,-301,-0.3683,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_vladimir_bragin,369,0.3608,oa_author_jenny_c__aker,679,0.6186,-310,-0.25780000000000003,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_min_zhang,362,0.3084,oa_author_frank_keller,681,0.5784,-319,-0.27,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_jongwon_lee,364,0.4178,oa_author_alex_kendall,682,0.5654,-318,-0.1476,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_motoki_takigiku,368,0.2811,oa_author_jeremy_gray,682,0.1454,-314,0.13570000000000002,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_stanislav_erokhin,371,0.313,oa_author_huijuan_xu,682,0.5078,-311,-0.19480000000000003,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_nipun_pitimanaaree,392,0.4576,oa_author_harini_raval,682,0.1541,-290,0.3035,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_chao_gu,360,0.3954,oa_author_jean_y__wu,683,0.0535,-323,0.3419,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_anh_dc_v,365,0.4349,oa_author_sandu_siyoto,683,0.1103,-318,0.3246,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_turbat_enkhbayar,372,0.2919,oa_author_chao_ma,684,0.4919,-312,-0.2,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_aliaksei_semchankau,374,0.5124,oa_author_mathew_hahn,684,0.1995,-310,0.31289999999999996,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_wenyu_cao,360,0.3889,oa_author_natacha_turck,685,0.3541,-325,0.0348,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_mark_sellke,362,0.6349,oa_author_jonathan_hart,685,0.2357,-323,0.3992,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_donat_nagy,365,0.3719,oa_author_yoon_kim,685,0.4954,-320,-0.1235,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_alexander_gunning,374,0.4884,oa_author_panqu_wang,685,0.1757,-311,0.3127,nearest_neighbor_no_tol_IMO_vs_OpenAlex
imo_calvin_deng,371,0.3826,oa_author_pankaj_berde,685,0.3311,-314,0.05149999999999999,nearest_neighbor_no_tol_IMO_vs_OpenAlex
