id,name,cohort,context_A,context_B
csrankings_christoforos_e__kozyrakis,Christoforos E. Kozyrakis,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_oluwasanmi_koyejo,Oluwasanmi Koyejo,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_ashish_goel,Ashish Goel,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_mendel_rosenblum,Mendel Rosenblum,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_oussama_khatib,Oussama Khatib,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_jiajun_wu_0001,Jiajun Wu 0001,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_balaji_prabhakar,Balaji Prabhakar,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_christopher_piech,Christopher Piech,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_kunle_olukotun,Kunle Olukotun,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_fredrik_kjolstad,Fredrik Kjolstad,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_stefano_ermon,Stefano Ermon,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_gordon_wetzstein,Gordon Wetzstein,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_mark_a__horowitz,Mark A. Horowitz,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_dan_boneh,Dan Boneh,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_li_fei_fei_0001,Li Fei-Fei 0001,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_vincent_aleven,Vincent Aleven,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_srinivasan_seshan,Srinivasan Seshan,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_mahadev_satyanarayanan,Mahadev Satyanarayanan,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_jeremy_z__kolter,Jeremy Z. Kolter,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_joel_mcmanus,Joel McManus,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_min_xu_0009,Min Xu 0009,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_daphne_ippolito,Daphne Ippolito,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_david_lindlbauer,David Lindlbauer,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_christian_cuba_samaniego,Christian Cuba Samaniego,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_carolyn_penstein_ros,Carolyn Penstein Rosé,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_roy_maxion,Roy Maxion,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_tom_michael_mitchell,Tom Michael Mitchell,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_guy_e__blelloch,Guy E. Blelloch,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_jonathan_aldrich,Jonathan Aldrich,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_james_mccann,James McCann,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_mingxing_xu,Mingxing Xu,cs_faculty,a computer science faculty member at Tsinghua University,a computer science researcher
csrankings_yi_ming_li,Yi-Ming Li,cs_faculty,a computer science faculty member at Tsinghua University,a computer science researcher
csrankings_hongliang_yu,Hongliang Yu,cs_faculty,a computer science faculty member at Tsinghua University,a computer science researcher
csrankings_yong_li_0008,Yong Li 0008,cs_faculty,a computer science faculty member at Tsinghua University,a computer science researcher
csrankings_jin_xu_0002,Jin Xu 0002,cs_faculty,a computer science faculty member at Peking University,a computer science researcher
