entity_id,entity_name,cohort,institution,NR_A,NR_B,delta,refusal_A,refusal_B
oa_author_vimal_savsani,Vimal Savsani,long_tail_researcher_openalex,Sardar Vallabhbhai National Institute of Technology Surat,0.6554,0.1019,-0.5535,0.054,0.243
oa_author_wim_vanhaverbeke,Wim Vanhaverbeke,long_tail_researcher_openalex,Hasselt University,0.7414,0.1914,-0.55,0.054,0.054
oa_author_jian_cheng,Jian Cheng,long_tail_researcher_openalex,Chinese Academy of Sciences,0.5527,0.0557,-0.497,0.189,0.243
oa_author_jon_wade,Jon Wade,long_tail_researcher_openalex,Stevens Institute of Technology,0.5392,0.0457,-0.4935,0.189,0.162
oa_author_miguel_c__soriano,Miguel C. Soriano,long_tail_researcher_openalex,Universitat de les Illes Balears,0.6689,0.1776,-0.4913,0.027,0.135
oa_author_xue_yang,Xue Yang,long_tail_researcher_openalex,Shanghai Jiao Tong University,0.4919,0.0024,-0.4895,0.243,0.243
artifact_step,Step,ai_startup_or_company,,0.4865,0.0,-0.4865,0.351,0.081
oa_author_olivier_dauchot,Olivier Dauchot,long_tail_researcher_openalex,Centre National de la Recherche Scientifique,0.6359,0.1524,-0.4835,0.054,0.027
oa_author_p__k__gupta,P. K. Gupta,long_tail_researcher_openalex,Jaypee University of Information Technology,0.4765,0.0011,-0.4754,0.243,0.162
oa_author_vladimir_g__kim,Vladimir G. Kim,long_tail_researcher_openalex,Adobe Systems (United States),0.6527,0.1789,-0.4738,0.054,0.162
oa_author_marijn_a__m__versteegh,Marijn A. M. Versteegh,long_tail_researcher_openalex,Vienna Center for Quantum Science and Technology,0.5038,0.03,-0.4738,0.216,0.135
msra_seunghoon_hong_2014,Seunghoon Hong,msra_phd_fellowship,,0.5278,0.0541,-0.4737,0.081,0.27
oa_author_christoph_stiller,Christoph Stiller,long_tail_researcher_openalex,Karlsruhe Institute of Technology,0.7365,0.2649,-0.4716,0.027,0.054
oa_author_anchi_guo,AnChi Guo,long_tail_researcher_openalex,University of Alberta,0.4832,0.0192,-0.464,0.27,0.378
oa_author_bowen_jiang,Bowen Jiang,long_tail_researcher_openalex,Dalian University of Technology,0.4651,0.0011,-0.464,0.351,0.351
suresh_kumar,Suresh Kumar,reference_pilot,,0.5153,0.0535,-0.4618,0.108,0.324
oa_author_fabien_reyal,Fabien Reyal,long_tail_researcher_openalex,Institut Curie,0.5932,0.1346,-0.4586,0.135,0.189
imo_istvan_tomon,István Tomon,imo_gold,,0.5662,0.1116,-0.4546,0.189,0.297
oa_author_janmichael_frahm,Jan‐Michael Frahm,long_tail_researcher_openalex,University of North Carolina at Chapel Hill,0.6903,0.2454,-0.4449,0.054,0.027
oa_author_joel_emer,Joel Emer,long_tail_researcher_openalex,Nvidia (United States),0.6243,0.1819,-0.4424,0.135,0.081
oa_author_tushar_krishna,Tushar Krishna,long_tail_researcher_openalex,Georgia Institute of Technology,0.6986,0.2611,-0.4375,0.054,0.054
oa_author_johan_bollen,Johan Bollen,long_tail_researcher_openalex,Indiana University Bloomington,0.7541,0.3168,-0.4373,0.027,0.0
oa_author_yasunobu_nohara,Yasunobu Nohara,long_tail_researcher_openalex,Kumamoto University,0.4514,0.0143,-0.4371,0.297,0.189
imo_jialun_li,Jialun Li,imo_gold,,0.4446,0.0111,-0.4335,0.162,0.405
oa_author_rachel_harrison,Rachel Harrison,long_tail_researcher_openalex,Oxford Brookes University,0.5143,0.0814,-0.4329,0.216,0.108
