model_id,n,mean_namerank,refusal_rate,n_records_ge_020,fraction_ge_020
gemma-3-4b,30,0.2927,0.0,19,0.633
gemma-3-12b,30,0.2867,0.1,21,0.7
llama-4-maverick,30,0.2587,0.0,19,0.633
llama-3.3-70b,30,0.1775,0.3,12,0.4
gemma-4-31b,30,0.1467,0.667,9,0.3
claude-opus-4.6-think,30,0.1433,0.833,5,0.167
phi-4,30,0.1407,0.0,9,0.3
deepseek-v4-pro-think,30,0.1397,0.733,6,0.2
deepseek-v4-flash-think,30,0.1333,0.767,7,0.233
gpt-5.4,30,0.1133,0.833,5,0.167
llama-3.1-8b,30,0.1127,0.067,9,0.3
deepseek-v3.2-think,30,0.1103,0.467,6,0.2
gemini-3-flash-think,30,0.1013,0.733,5,0.167
gpt-5.5-think,30,0.1,0.833,5,0.167
gemini-2.5-pro-think,30,0.0781,0.367,4,0.133
mistral-small-24b,30,0.0683,0.533,5,0.167
qwen3.5-397b-a17b-think,30,0.0667,0.133,2,0.067
glm-4.7-think,30,0.06,0.9,3,0.1
claude-sonnet-4.6-think,30,0.0467,0.467,2,0.067
gpt-oss-20b-think,30,0.036,0.9,2,0.067
kimi-k2.6-think,30,0.0233,0.967,1,0.033
qwen3-32b-think,30,0.0133,0.5,0,0.0
gpt-5.3,30,0.0,1.0,0,0.0
grok-4.20-think,30,0.0,0.0,0,0.0
kimi-k2,30,0.0,0.0,0,0.0
qwen3-235b-a22b-think,30,0.0,0.0,0,0.0
mistral-large,30,0.0,0.0,0,0.0
glm-4-32b,30,0.0,0.0,0,0.0
grok-4,30,0.0,0.0,0,0.0
mistral-medium-3.1,30,0.0,0.0,0,0.0
minimax-m2.7-think,30,0.0,0.0,0,0.0
qwen3-8b-think,30,0.0,0.0,0,0.0
ernie-4.5-300b-a47b,30,0.0,0.0,0,0.0
gemini-3.1-pro,30,0.0,1.0,0,0.0
llama-3.2-1b,30,0.0,0.0,0,0.0
glm-5.1-think,30,0.0,0.967,0,0.0
ministral-3b,30,0.0,0.0,0,0.0
