cohort,n_total,n_wiki,wiki_pct,mean_NR_all,mean_NR_with_wiki,mean_NR_without_wiki,mean_sitelinks_in_wiki,median_pageviews_in_wiki
imo_gold,197,7,3.55,0.3619,0.4718,0.3579,8.14,1063
cmo_china_gold,131,8,6.11,0.3021,0.3493,0.299,4.38,144.5
cpho_china_first_prize,50,2,4.0,0.1823,0.1634,0.1831,16,2206.0
noi_china_gold,29,0,0.0,0.3675,,0.3675,,
ioi_gold,68,3,4.41,0.3412,0.467,0.3354,16,7999
icpc_world_finals_gold,18,2,11.11,0.6104,0.6603,0.6042,16,7999.0
putnam_fellow,35,1,2.86,0.6076,0.6957,0.605,3,543
rhodes_scholar,36,0,0.0,0.3148,,0.3148,,
msra_phd_fellowship,237,12,5.06,0.3425,0.3271,0.3433,4.67,209.0
long_tail_researcher_openalex,771,60,7.78,0.4639,0.5535,0.4563,5.25,270.0
cs_faculty,698,87,12.46,0.4172,0.5652,0.3961,3.78,250
reference_pilot,37,15,40.54,0.4521,0.5982,0.3525,25.8,44636
long_tail_researcher_ikp,159,1,0.63,0.1579,0.3659,0.1566,1,465
