id,country,institution,namerank,has_wiki,sitelinks,pageviews_30d,log_pv,log_sl
csrankings_fraser_brown,USA,Carnegie Mellon University,0.3051,0,0,0,0.0,0.0
csrankings_oluwasanmi_koyejo,USA,Stanford University,0.5846,0,0,0,0.0,0.0
csrankings_jon_froehlich,USA,University of Washington,0.6489,0,0,0,0.0,0.0
csrankings_rajalakshmi_nandakumar_tech,USA,Cornell University,0.3659,0,0,0,0.0,0.0
csrankings_ziv_bar_joseph,USA,Carnegie Mellon University,0.567,1,2,287,5.662960480135946,1.0986122886681096
csrankings_emily_mower_provost,USA,University of Michigan,0.53,1,1,132,4.890349128221754,0.6931471805599453
csrankings_jeff_a__bilmes,USA,University of Washington,0.6501,0,0,0,0.0,0.0
csrankings_anind_k__dey,USA,University of Washington,0.6376,1,1,219,5.393627546352361,0.6931471805599453
csrankings_christopher_peikert,USA,University of Michigan,0.6646,0,0,0,0.0,0.0
csrankings_angelique_taylor_tech,USA,Cornell University,0.2786,0,0,0,0.0,0.0
csrankings_adam_finkelstein,USA,Princeton University,0.5203,0,0,0,0.0,0.0
csrankings_brian_w__kernighan,USA,Princeton University,0.5589,1,46,6812,8.826587830773668,3.8501476017100584
csrankings_steve_marschner,USA,Cornell University,0.6486,0,0,0,0.0,0.0
csrankings_wenting_zheng,USA,Carnegie Mellon University,0.3405,0,0,0,0.0,0.0
csrankings_christoforos_e__kozyrakis,USA,Stanford University,0.6016,0,0,0,0.0,0.0
csrankings_stefano_tessaro,USA,University of Washington,0.5732,0,0,0,0.0,0.0
csrankings_anupam_datta,USA,Carnegie Mellon University,0.6562,0,0,0,0.0,0.0
csrankings_qing_qu_0001,USA,University of Michigan,0.3673,0,0,0,0.0,0.0
csrankings_jenna_wiens,USA,University of Michigan,0.5992,0,0,0,0.0,0.0
csrankings_immanuel_trummer,USA,Cornell University,0.5468,0,0,0,0.0,0.0
csrankings_roy_maxion,USA,Carnegie Mellon University,0.5195,1,1,82,4.418840607796598,0.6931471805599453
csrankings_maneesh_agrawala,USA,Stanford University,0.5922,1,3,0,0.0,1.3862943611198906
csrankings_tanushree_mitra,USA,University of Washington,0.4194,0,0,0,0.0,0.0
csrankings_li_yang_tan,USA,Stanford University,0.39,0,0,0,0.0,0.0
csrankings_anshul_kundaje,USA,Stanford University,0.6011,0,0,0,0.0,0.0
csrankings_david_s__bindel,USA,Cornell University,0.5951,0,0,0,0.0,0.0
csrankings_riad_wahby,USA,Carnegie Mellon University,0.5284,0,0,0,0.0,0.0
csrankings_james_h__morris_jr_,USA,Carnegie Mellon University,0.5305,0,0,0,0.0,0.0
csrankings_parastoo_abtahi,USA,Princeton University,0.2811,0,0,0,0.0,0.0
csrankings_jialin_ding_0001,USA,Princeton University,0.1764,0,0,0,0.0,0.0
csrankings_euiwoong_lee,USA,University of Michigan,0.467,0,0,0,0.0,0.0
csrankings_hartmut_geyer,USA,Carnegie Mellon University,0.3659,0,0,0,0.0,0.0
csrankings_william_l__scherlis,USA,Carnegie Mellon University,0.5529,0,0,0,0.0,0.0
csrankings_bryan_parno,USA,Carnegie Mellon University,0.6643,0,0,0,0.0,0.0
csrankings_huijia_lin,USA,University of Washington,0.5123,1,2,246,5.5093883366279774,1.0986122886681096
csrankings_phoebe_sengers,USA,Cornell University,0.5841,1,3,188,5.241747015059643,1.3862943611198906
csrankings_andrew_pavlo,USA,Carnegie Mellon University,0.5732,0,0,0,0.0,0.0
csrankings_bogdan_vasilescu,USA,Carnegie Mellon University,0.4451,0,0,0,0.0,0.0
csrankings_hanna_hajishirzi,USA,University of Washington,0.5592,1,1,391,5.971261839790462,0.6931471805599453
csrankings_james_mccann,USA,Carnegie Mellon University,0.4076,0,0,0,0.0,0.0
csrankings_mark_a__horowitz,USA,Stanford University,0.6035,1,4,847,6.742880635791903,1.6094379124341003
csrankings_olga_g__troyanskaya,USA,Princeton University,0.6108,1,3,445,6.100318952020064,1.3862943611198906
csrankings_yun_william_yu,USA,Carnegie Mellon University,0.23,0,0,0,0.0,0.0
csrankings_abhinav_gupta_0001,USA,Carnegie Mellon University,0.4997,0,0,0,0.0,0.0
csrankings_carolyn_penstein_ros,USA,Carnegie Mellon University,0.5081,1,1,162,5.093750200806762,0.6931471805599453
csrankings_lorrie_faith_cranor,USA,Carnegie Mellon University,0.6303,1,3,301,5.71042701737487,1.3862943611198906
csrankings_hun_seok_kim,USA,University of Michigan,0.4027,0,0,0,0.0,0.0
csrankings_maria_florina_popa,USA,Carnegie Mellon University,0.1251,0,0,0,0.0,0.0
csrankings_martha_e__pollack,USA,Cornell University,0.5122,1,7,1659,7.414572881350589,2.0794415416798357
csrankings_yejin_choi_0001,USA,Stanford University,0.1355,0,0,0,0.0,0.0
csrankings_michael_j__freedman,USA,Princeton University,0.5068,1,1,458,6.129050210060545,0.6931471805599453
csrankings_joyce_yue_chai,USA,University of Michigan,0.5119,0,0,0,0.0,0.0
csrankings_huijia_rachel_lin,USA,University of Washington,0.4935,1,2,246,5.5093883366279774,1.0986122886681096
csrankings_arpita_ghosh,USA,Cornell University,0.4276,0,0,0,0.0,0.0
csrankings_jonathan_r__mayer,USA,Princeton University,0.5509,0,0,0,0.0,0.0
csrankings_amy_ogan,USA,Carnegie Mellon University,0.5435,0,0,0,0.0,0.0
csrankings_ronald_g__dreslinski,USA,University of Michigan,0.5338,0,0,0,0.0,0.0
csrankings_alan_m__frieze,USA,Carnegie Mellon University,0.6427,1,0,172,5.153291594497779,0.0
csrankings_junyi_zhu_0001,USA,University of Michigan,0.2143,0,0,0,0.0,0.0
csrankings_mae_milano,USA,Princeton University,0.1768,0,0,0,0.0,0.0
csrankings_peter_m__chen,USA,University of Michigan,0.5209,0,0,0,0.0,0.0
csrankings_andrew_clifford_myers,USA,Cornell University,0.5681,0,0,0,0.0,0.0
csrankings_ben_shapiro_0001,USA,University of Washington,0.1311,0,0,0,0.0,0.0
csrankings_anirudha_majumdar,USA,Princeton University,0.4808,0,0,0,0.0,0.0
csrankings_jeffrey_michael_heer,USA,University of Washington,0.6338,1,2,568,6.343880434126331,1.0986122886681096
csrankings_nicola_dell_tech,USA,Cornell University,0.4757,1,4,205,5.327876168789581,1.6094379124341003
csrankings_thomas_rothvoss,USA,University of Washington,0.65,0,0,0,0.0,0.0
csrankings_bharath_hariharan,USA,Cornell University,0.5232,0,0,0,0.0,0.0
csrankings_paul_glz,USA,Cornell University,0.3392,0,0,0,0.0,0.0
csrankings_anhong_guo,USA,University of Michigan,0.4138,0,0,0,0.0,0.0
csrankings_vincent_josua_hellendoorn,USA,Carnegie Mellon University,0.3795,0,0,0,0.0,0.0
csrankings_david_p__woodruff,USA,Carnegie Mellon University,0.6446,1,2,200,5.303304908059076,1.0986122886681096
csrankings_brian_noble,USA,University of Michigan,0.5554,0,0,0,0.0,0.0
csrankings_qingzi_vera_liao,USA,University of Michigan,0.3684,0,0,0,0.0,0.0
csrankings_ke_sun_0012,USA,University of Michigan,0.1784,0,0,0,0.0,0.0
csrankings_thomas_l__griffiths_0001,USA,Princeton University,0.4911,0,0,0,0.0,0.0
csrankings_john_d__storey,USA,Princeton University,0.3295,1,1,240,5.484796933490655,0.6931471805599453
csrankings_karem_a__sakallah,USA,University of Michigan,0.5716,1,1,154,5.043425116919247,0.6931471805599453
csrankings_chenyan_xiong,USA,Carnegie Mellon University,0.4138,0,0,0,0.0,0.0
csrankings_michael_p__kim,USA,Cornell University,0.393,0,0,0,0.0,0.0
csrankings_paul_grubbs,USA,University of Michigan,0.4532,0,0,0,0.0,0.0
csrankings_mark_guzdial,USA,University of Michigan,0.6103,1,2,307,5.730099782973575,1.0986122886681096
csrankings_wen_sun_0002,USA,Cornell University,0.3405,0,0,0,0.0,0.0
csrankings_norman_sadeh_koniecpol,USA,Carnegie Mellon University,0.4108,0,0,0,0.0,0.0
csrankings_mahadev_satyanarayanan,USA,Carnegie Mellon University,0.5705,1,2,948,6.855408798609928,1.0986122886681096
csrankings_dan_boneh,USA,Stanford University,0.6135,1,13,1309,7.177782416195197,2.639057329615259
csrankings_ronald_j__brachman,USA,Cornell University,0.5346,1,5,329,5.799092654460526,1.791759469228055
csrankings_jiasi_chen,USA,University of Michigan,0.3249,0,0,0,0.0,0.0
csrankings_yin_tat_lee,USA,University of Washington,0.5513,0,0,0,0.0,0.0
csrankings_odest_chadwicke_jenkins,USA,University of Michigan,0.5692,1,0,153,5.0369526024136295,0.0
csrankings_mor_harchol_balter,USA,Carnegie Mellon University,0.6,1,1,0,0.0,0.6931471805599453
csrankings_bernard_marie_chazelle,USA,Princeton University,0.5978,1,7,1587,7.370230641807081,2.0794415416798357
csrankings_magdalena_balazinska,USA,University of Washington,0.6419,1,6,250,5.5254529391317835,1.9459101490553132
csrankings_ioannis_gkioulekas,USA,Carnegie Mellon University,0.5062,0,0,0,0.0,0.0
csrankings_cyrus_omar,USA,University of Michigan,0.4853,0,0,0,0.0,0.0
csrankings_david_m__mimno,USA,Cornell University,0.6719,0,0,0,0.0,0.0
csrankings_joel_mcmanus,USA,Carnegie Mellon University,0.0846,0,0,0,0.0,0.0
csrankings_jason_li_0006,USA,Carnegie Mellon University,0.2246,0,0,0,0.0,0.0
csrankings_li_fei_fei_0001,USA,Stanford University,0.4576,0,0,0,0.0,0.0
csrankings_kunle_olukotun,USA,Stanford University,0.6246,1,6,856,6.75343791859778,1.9459101490553132
csrankings_jaime_f__fisac,USA,Princeton University,0.5395,0,0,0,0.0,0.0
csrankings_christos_faloutsos,USA,Carnegie Mellon University,0.6025,1,1,220,5.3981627015177525,0.6931471805599453
csrankings_travis_d__breaux,USA,Carnegie Mellon University,0.5276,0,0,0,0.0,0.0
csrankings_elizabeth_bondi_kelly,USA,University of Michigan,0.3416,0,0,0,0.0,0.0
csrankings_maggie_makar,USA,University of Michigan,0.3395,0,0,0,0.0,0.0
csrankings_giulia_guidi,USA,Cornell University,0.3116,0,0,0,0.0,0.0
csrankings_mark_wah_newman,USA,University of Michigan,0.2127,0,0,0,0.0,0.0
csrankings_adji_bousso_dieng,USA,Princeton University,0.497,1,7,347,5.8522024797744745,2.0794415416798357
csrankings_matthew_otoole,USA,Carnegie Mellon University,0.3905,0,0,0,0.0,0.0
csrankings_tadayoshi_kohno,USA,University of Washington,0.6578,1,1,252,5.53338948872752,0.6931471805599453
csrankings_joe_halpern,USA,Cornell University,0.6703,0,0,0,0.0,0.0
csrankings_riad_s__wahby,USA,Carnegie Mellon University,0.5005,0,0,0,0.0,0.0
csrankings_ira_kemelmacher_shlizerman,USA,University of Washington,0.6632,0,0,0,0.0,0.0
csrankings_jeremy_z__kolter,USA,Carnegie Mellon University,0.4886,0,0,0,0.0,0.0
csrankings_m__satyanarayanan,USA,Carnegie Mellon University,0.6339,0,0,0,0.0,0.0
csrankings_gordon_wetzstein,USA,Stanford University,0.6084,0,0,0,0.0,0.0
csrankings_raj_p__n__rao,USA,University of Washington,0.5851,0,0,0,0.0,0.0
csrankings_theophilus_benson,USA,Carnegie Mellon University,0.3654,0,0,0,0.0,0.0
csrankings_lingjia_tang,USA,University of Michigan,0.4854,0,0,0,0.0,0.0
csrankings_ashish_goel,USA,Stanford University,0.5923,1,2,457,6.126869184114185,1.0986122886681096
csrankings_balaji_prabhakar,USA,Stanford University,0.5707,0,0,0,0.0,0.0
csrankings_gillat_kol,USA,Princeton University,0.4386,0,0,0,0.0,0.0
csrankings_norman_sadeh_0001,USA,Carnegie Mellon University,0.4878,0,0,0,0.0,0.0
csrankings_pravesh_kothari,USA,Princeton University,0.4722,0,0,0,0.0,0.0
csrankings_alex_lombardi,USA,Princeton University,0.2568,0,0,0,0.0,0.0
csrankings_ravi_arun_netravali,USA,Princeton University,0.4022,0,0,0,0.0,0.0
