entity_id,cohort,var_cross_model_T0,var_panel_mean_across_templates,ratio
artifact_acme,oss_project,0.087651,0.004707,0.053698
artifact_alphageometry_paper,research_paper,0.113725,0.005032,0.044246
artifact_annoy,oss_project,0.075283,0.015962,0.212033
artifact_apex,oss_project,0.043365,0.004337,0.100014
artifact_autogen,oss_project,0.004441,0.004881,1.098993
artifact_chinchilla_paper,research_paper,0.050928,0.010171,0.199705
artifact_clicknp,oss_project,0.023186,0.001617,0.069723
artifact_clip,oss_project,0.004756,0.002301,0.483867
artifact_colbert_v2,oss_project,0.011916,0.001923,0.161379
artifact_colbert_v2_paper,research_paper,0.069628,0.007591,0.109017
artifact_comfyui,oss_project,0.063202,0.008936,0.141383
artifact_cormen_algorithms_textbook,research_paper,0.009402,0.004649,0.494443
artifact_cub,oss_project,0.054357,0.003158,0.058095
artifact_deepseek_math_paper,research_paper,0.112425,0.003633,0.032317
artifact_dspy_stanford,oss_project,0.124844,0.006837,0.054762
artifact_faiss,oss_project,0.001624,0.003683,2.267954
artifact_faiss_cpu,oss_project,0.074376,0.011926,0.160349
artifact_fastai,oss_project,0.015483,0.010817,0.698623
artifact_fasttext,oss_project,0.038495,0.017215,0.447189
artifact_flax,oss_project,0.065865,0.017706,0.268824
artifact_generative_agents_paper,research_paper,0.069907,0.011775,0.168433
artifact_grovers_algorithm_paper,research_paper,0.014824,0.005997,0.404563
artifact_haiku,oss_project,0.084676,0.005840,0.068969
artifact_haystack,oss_project,0.041738,0.012646,0.302970
artifact_inception_paper,research_paper,0.012355,0.005913,0.478626
artifact_nltk,oss_project,0.011729,0.009605,0.818841
artifact_numba,oss_project,0.017838,0.004823,0.270390
artifact_onnx_runtime,oss_project,0.020804,0.005908,0.283971
artifact_polyglot,oss_project,0.058386,0.007715,0.132137
artifact_qwen_paper,research_paper,0.107655,0.007618,0.070766
artifact_rag_engine,oss_project,0.049395,0.000849,0.017178
artifact_replit,oss_project,0.006973,0.002036,0.292041
artifact_scipy,oss_project,0.018024,0.003051,0.169288
artifact_self_consistency,oss_project,0.005488,0.002969,0.541018
