model_id,tier,mean_delta,mean_NR_A,mean_NR_B,n_pairs
llama-3.1-8b,small,0.1645,0.1927,0.3573,11
deepseek-v4-flash-think,mid_weight,0.1291,0.6191,0.7482,11
kimi-k2.6-think,frontier_chat,0.1264,0.6827,0.8091,11
mistral-small-24b,small,0.1227,0.2273,0.35,11
qwen3-32b-think,small,0.1209,0.1791,0.3,11
phi-4,small,0.1136,0.2391,0.3527,11
gpt-oss-20b-think,small,0.1045,0.2991,0.4035,11
gemma-3-12b,small,0.1018,0.4009,0.5027,11
llama-3.3-70b,mid_weight,0.0964,0.3936,0.49,11
llama-4-maverick,mid_weight,0.0927,0.4509,0.5436,11
qwen3.5-397b-a17b-think,frontier_chat,0.06,0.5736,0.6336,11
gpt-5.3,frontier_chat,0.0573,0.5818,0.6391,11
gemma-3-4b,small,0.05,0.3336,0.3836,11
deepseek-v4-pro-think,frontier_reasoning,0.0291,0.7555,0.7845,11
glm-5.1-think,frontier_reasoning,0.0273,0.7409,0.7682,11
gpt-5.5-think,frontier_reasoning,0.0232,0.7682,0.7914,11
glm-4.7-think,frontier_chat,0.0227,0.6527,0.6755,11
gemini-2.5-pro-think,frontier_reasoning,0.02,0.5845,0.6045,11
gemini-3.1-pro,frontier_reasoning,0.0182,0.8,0.8182,11
claude-opus-4.6-think,frontier_reasoning,0.0136,0.8,0.8136,11
gpt-5.4,frontier_chat,0.0045,0.6545,0.6591,11
deepseek-v3.2-think,frontier_chat,0.0036,0.5573,0.5609,11
gemma-4-31b,small,-0.018,0.683,0.665,10
gemini-3-flash-think,frontier_reasoning,-0.0327,0.78,0.7473,11
claude-sonnet-4.6-think,frontier_reasoning,-0.0364,0.8455,0.8091,11
