id,name,cohort,predicted_gender,confidence,namerank,h_index,cited_by_count,credential_country,institution,subfield
imo_dongyi_wei,Dongyi Wei,imo_gold,ambiguous,east_asian_name,0.4292,,,China,,
imo_zhiwei_zheng,Zhiwei Zheng,imo_gold,ambiguous,east_asian_name,0.4484,,,China,,
imo_fan_zheng,Fan Zheng,imo_gold,ambiguous,east_asian_name,0.4365,,,China,,
imo_yanlin_zhao,Yanlin Zhao,imo_gold,ambiguous,east_asian_name,0.3814,,,China,,
imo_sampson_wong,Sampson Wong,imo_gold,ambiguous,unknown_to_detector,0.387,,,Australia,,
imo_hsinpo_wang,Hsin-Po Wang,imo_gold,ambiguous,east_asian_name,0.4705,,,Taiwan,,
imo_teodor_von_burg,Teodor von Burg,imo_gold,male,high,0.5114,,,Serbia,,
imo_bogdan_veklych,Bogdan Veklych,imo_gold,male,high,0.323,,,Ukraine,,
imo_umut_varolgunes,Umut Varolgüneş,imo_gold,male,high,0.4014,,,Türkiye,,
imo_konstantin_tyshchuk,Konstantin Tyshchuk,imo_gold,male,high,0.3346,,,Russia,,
imo_istvan_tomon,István Tomon,imo_gold,ambiguous,unknown_to_detector,0.5662,,,Hungary,,
imo_motoki_takigiku,Motoki Takigiku,imo_gold,male,medium,0.2811,,,Japan,,
imo_artsiom_toyestseu,Artsiom Toyestseu,imo_gold,male,high,0.2978,,,Belarus,,
imo_makoto_soejima,Makoto Soejima,imo_gold,male,medium,0.4543,,,Japan,,
imo_xiaolin_danny_shi,Xiaolin (Danny) Shi,imo_gold,ambiguous,east_asian_name,0.4822,,,Canada,,
imo_nazar_serdyuk,Nazar Serdyuk,imo_gold,male,high,0.3686,,,Ukraine,,
imo_vitaliy_senin,Vitaliy Senin,imo_gold,male,high,0.3919,,,Ukraine,,
imo_lisa_sauermann,Lisa Sauermann,imo_gold,female,high,0.7995,,,Germany,,
imo_suthee_ruangwises,Suthee Ruangwises,imo_gold,ambiguous,unknown_to_detector,0.4192,,,Thailand,,
imo_un_song_ri,Un Song Ri,imo_gold,ambiguous,east_asian_name,0.3124,,,DPR Korea,,
imo_yong_hyon_ri,Yong Hyon Ri,imo_gold,ambiguous,east_asian_name,0.3276,,,DPR Korea,,
imo_henrique_ponde_de_oliveira_pinto,Henrique Pondé de Oliveira Pinto,imo_gold,male,high,0.4203,,,Brazil,,
imo_elena_madalina_persu,Elena Mădălina Persu,imo_gold,female,high,0.3516,,,Romania,,
imo_giovanni_paolini,Giovanni Paolini,imo_gold,male,high,0.4605,,,Italy,,
imo_lyuboslav_nikolaev_panchev,Lyuboslav Nikolaev Panchev,imo_gold,ambiguous,unknown_to_detector,0.2673,,,Bulgaria,,
imo_victor_omelyanenko,Victor Omelyanenko,imo_gold,male,high,0.2914,,,Russia,,
imo_akio_kishikawa,Akio Kishikawa,imo_gold,male,high,0.1941,,,Japan,,
imo_h_khng_duy,Hà Khương Duy,imo_gold,male,medium,0.2892,,,Vietnam,,
imo_jong_chol_kim,Jong Chol Kim,imo_gold,ambiguous,east_asian_name,0.3692,,,DPR Korea,,
