decile,h_index_lo,h_index_hi,n_male,n_female,mean_NR_male,mean_NR_female,delta_male_minus_female,welch_t,p_value
D1,1,6,34,8,0.2373,0.2286,0.0087,0.194,0.846
D2,6,10,33,6,0.332,0.327,0.005,0.086,0.9316
D3,10,14,44,12,0.4057,0.3786,0.0271,0.613,0.5398
D4,14,19,37,5,0.4562,0.2683,0.1878,2.175,0.0296
D5,19,23,44,7,0.5039,0.3955,0.1085,1.801,0.0717
D6,23,28,44,4,0.5305,0.4776,0.0529,0.552,0.5809
D7,28,33,35,8,0.5392,0.5821,-0.0429,-1.048,0.2947
D8,33,39,34,12,0.5931,0.5482,0.0449,1.071,0.2842
D9,39,49,45,5,0.6018,0.6087,-0.0069,-0.19,0.8491
D10,49,81,38,9,0.6173,0.6691,-0.0519,-1.846,0.0649
POOLED_WITHIN,,,388,76,,,0.0267,,
