entity_id,name,openalex_id,h_index,cited_by_count,n_works,fractional_citations,mean_authors,first_last_citations,n_first_or_last,total_citations_from_works,n_solo_works
oa_author_badan_penelitian_dan_pengembangan_kesehatan,Badan Penelitian dan Pengembangan Kesehatan,https://openalex.org/A5008929319,6,1877,12,1877.0,1.0,1877,12,1877,12
oa_author_mamouna_diagne,Maïmouna Diagne,https://openalex.org/A5069959639,4,934,7,192.6,4.857142857142857,893,5,935,1
oa_author_thang_luong,Thang Luong,https://openalex.org/A5013286997,13,11770,27,3739.2984848484857,6.444444444444445,10764,16,11792,1
oa_author_alireza_askarzadeh,Alireza Askarzadeh,https://openalex.org/A5070442408,40,8389,95,5786.7,2.1473684210526316,8220,83,8410,18
oa_author_peter_naylor,Peter Naylor,https://openalex.org/A5080601989,11,1179,59,289.2420995670996,5.220338983050848,1070,36,1188,4
oa_author_samuel_a__mehr,Samuel A. Mehr,https://openalex.org/A5088761076,26,3246,116,730.6297951274956,6.689655172413793,2752,78,3267,15
oa_author_andre_esteva,Andre Esteva,https://openalex.org/A5070015743,27,24842,83,2871.3435215666414,18.518072289156628,20130,18,25136,0
oa_author_chengen_wang,Chengen Wang,https://openalex.org/A5036938086,29,3396,223,1105.8714285714286,3.094170403587444,2273,162,3404,62
oa_author_james_m__brenan,James M. Brenan,https://openalex.org/A5062927143,41,7680,125,3226.8238095238107,2.912,6427,94,7689,25
oa_author_tim_dettmers,Tim Dettmers,https://openalex.org/A5067514564,14,4602,29,1198.473953823954,6.448275862068965,4123,11,4309,2
oa_author_thomas_leung,Thomas Leung,https://openalex.org/A5111929615,42,22024,89,5885.013345864663,6.943820224719101,6881,46,22038,6
oa_author_jiwan_ge,Jiwan Ge,https://openalex.org/A5005832520,17,11443,40,852.3554024308552,16.275,210,5,11467,0
oa_author_michal_p,Michal Čáp,https://openalex.org/A5014638371,12,3326,56,677.6750000000004,4.196428571428571,514,30,3341,4
oa_author_elchanan_mossel,Elchanan Mossel,https://openalex.org/A5013467728,53,9967,420,3975.166450216452,2.919047619047619,6021,258,9976,29
oa_author_jiuxiang_gu,Jiuxiang Gu,https://openalex.org/A5005119482,27,9345,134,1098.5552774023367,8.850746268656716,8294,38,9383,1
oa_author_alex_wang,Alex Wang,https://openalex.org/A5100783908,13,4306,28,725.8718364968364,14.642857142857142,3714,10,4310,2
oa_author_florent_perronnin,Florent Perronnin,https://openalex.org/A5059987704,39,17454,120,5511.609340659343,3.7916666666666665,11010,71,17465,6
