predictor,decile,n,mean_predictor,mean_namerank,median_namerank
h_index,1,77,2.896,0.2199,0.2057
h_index,2,77,8.065,0.3377,0.37
h_index,3,77,12.351,0.3905,0.3757
h_index,4,77,16.74,0.4508,0.4357
h_index,5,77,20.857,0.4656,0.4938
h_index,6,77,25.766,0.5203,0.5459
h_index,7,77,30.571,0.5291,0.5377
h_index,8,77,36.948,0.5766,0.5822
h_index,9,77,45.364,0.5465,0.537
h_index,10,78,60.641,0.6,0.626
cited_by_count,1,77,1148.26,0.3273,0.337
cited_by_count,2,77,2410.714,0.3775,0.3895
cited_by_count,3,77,3457.74,0.4387,0.453
cited_by_count,4,77,5124.013,0.4589,0.4962
cited_by_count,5,77,6848.727,0.4835,0.4914
cited_by_count,6,77,8693.416,0.48,0.5018
cited_by_count,7,77,10883.636,0.4554,0.4792
cited_by_count,8,77,13630.039,0.5112,0.5527
cited_by_count,9,77,17828.442,0.5519,0.5862
cited_by_count,10,78,24895.833,0.5532,0.5924
fractional_citations,1,77,229.482,0.3285,0.337
fractional_citations,2,77,519.095,0.3551,0.3692
fractional_citations,3,77,806.164,0.4415,0.4432
fractional_citations,4,77,1122.586,0.4614,0.4981
fractional_citations,5,77,1481.206,0.4466,0.4759
fractional_citations,6,77,1923.969,0.4988,0.5284
fractional_citations,7,77,2412.87,0.4628,0.5149
fractional_citations,8,77,3262.563,0.5396,0.5759
fractional_citations,9,77,4634.968,0.5592,0.5908
fractional_citations,10,78,8077.501,0.5444,0.623
first_last_citations,1,77,35.831,0.2459,0.2392
first_last_citations,2,77,350.844,0.3949,0.3911
first_last_citations,3,77,808.532,0.4104,0.4284
first_last_citations,4,77,1380.961,0.4264,0.4262
first_last_citations,5,77,2111.208,0.4722,0.4897
first_last_citations,6,77,2958.429,0.5037,0.5151
first_last_citations,7,77,4263.688,0.5222,0.5338
first_last_citations,8,77,6368.26,0.5563,0.5781
first_last_citations,9,77,9365.623,0.5484,0.5957
first_last_citations,10,78,16569.615,0.5572,0.6231
n_works,1,77,4.961,0.2329,0.2057
n_works,2,77,18.818,0.3401,0.3338
n_works,3,77,33.948,0.4096,0.4092
n_works,4,77,50.909,0.4507,0.4303
n_works,5,77,71.818,0.4892,0.5054
n_works,6,77,96.221,0.4986,0.4959
n_works,7,77,131.182,0.5235,0.5378
n_works,8,77,180.143,0.5573,0.5881
n_works,9,77,255.312,0.5546,0.5595
n_works,10,78,457.385,0.5809,0.6129
mean_authors,1,77,2.62,0.3953,0.4222
mean_authors,2,77,3.534,0.4536,0.4735
mean_authors,3,77,4.085,0.4902,0.5151
mean_authors,4,77,4.64,0.4984,0.5157
mean_authors,5,77,5.099,0.4574,0.4657
mean_authors,6,77,5.689,0.5257,0.5222
mean_authors,7,77,6.368,0.4662,0.4676
mean_authors,8,77,7.457,0.4545,0.4811
mean_authors,9,77,9.359,0.4725,0.4989
mean_authors,10,78,16.785,0.4255,0.4523
