section,predictor,metric,value,extra
sole_predictor,h_index,r2_log1p,0.3978,"{""pearson_raw"": 0.5639, ""r2_raw"": 0.318, ""pearson_log1p"": 0.6307, ""spearman"": 0.6041, ""n"": 771}"
sole_predictor,cited_by_count,r2_log1p,0.1374,"{""pearson_raw"": 0.3296, ""r2_raw"": 0.1086, ""pearson_log1p"": 0.3706, ""spearman"": 0.3819, ""n"": 771}"
sole_predictor,fractional_citations,r2_log1p,0.1537,"{""pearson_raw"": 0.296, ""r2_raw"": 0.0876, ""pearson_log1p"": 0.3921, ""spearman"": 0.4209, ""n"": 771}"
sole_predictor,first_last_citations,r2_log1p,0.2678,"{""pearson_raw"": 0.3667, ""r2_raw"": 0.1345, ""pearson_log1p"": 0.5175, ""spearman"": 0.5047, ""n"": 771}"
sole_predictor,n_works,r2_log1p,0.3368,"{""pearson_raw"": 0.4055, ""r2_raw"": 0.1644, ""pearson_log1p"": 0.5804, ""spearman"": 0.5524, ""n"": 771}"
sole_predictor,mean_authors,r2_log1p,0.0004,"{""pearson_raw"": -0.0134, ""r2_raw"": 0.0002, ""pearson_log1p"": 0.0198, ""spearman"": -0.005, ""n"": 771}"
joint_ols,ALL,r2,0.428,"{""log1p_h_index"": 0.1255587676190538, ""log1p_cited_by_count"": -0.027326168196327216, ""log1p_fractional_citations"": 0.018476817842493484, ""log1p_first_last_citations"": 0.017213139741979813, ""log1p_n_works"": -0.007806803184270961, ""log1p_mean_authors"": 0.024163071596057697}"
joint_ols_standardized,ALL,std_coefs,0.428,"{""log1p_h_index"": 0.5786076428405205, ""log1p_cited_by_count"": -0.14299065839234254, ""log1p_fractional_citations"": 0.10873443411361489, ""log1p_first_last_citations"": 0.2023841788621434, ""log1p_n_works"": -0.05595182318476126, ""log1p_mean_authors"": 0.05964208813036418}"
two_way_vs_h_index,log1p_h_index,r2,0.3978,"{""delta_over_h"": 0.0, ""sole_r2"": null}"
two_way_vs_h_index,log1p_h_index + log1p_cited_by_count,r2,0.3978,"{""delta_over_h"": 0.0001, ""sole_r2"": 0.1374}"
two_way_vs_h_index,log1p_h_index + log1p_fractional_citations,r2,0.4003,"{""delta_over_h"": 0.0026, ""sole_r2"": 0.1537}"
two_way_vs_h_index,log1p_h_index + log1p_first_last_citations,r2,0.4246,"{""delta_over_h"": 0.0268, ""sole_r2"": 0.2678}"
two_way_vs_h_index,log1p_h_index + log1p_n_works,r2,0.3981,"{""delta_over_h"": 0.0003, ""sole_r2"": 0.3368}"
two_way_vs_h_index,log1p_h_index + log1p_mean_authors,r2,0.3985,"{""delta_over_h"": 0.0008, ""sole_r2"": 0.0004}"
