id,title,article,start_year,start_month,country,region,region_group,category,peak_views,total_views,eff_duration,days_above_10,tail_daily,peak_date,gold_words
event_2022_russian_invasion_of_ukraine,2022 Russian invasion of Ukraine,2022_Russian_invasion_of_Ukraine,2022,2,Ukraine,Eastern Europe & Russia,Eastern Europe & Russia,conflict_terrorism,2095287,51992090,24.81,51,48373.4,20220224,192
event_2022_fifa_world_cup,2022 FIFA World Cup,2022_FIFA_World_Cup,2022,11,Qatar,Middle East & North Africa,Middle East & Africa,sports,1866116,39302580,21.06,39,11765.2,20221130,198
event_2020_summer_olympics,2020 Summer Olympics,2020_Summer_Olympics,2021,7,Japan,East Asia,East Asia,sports,685967,13291970,19.38,31,3761.3,20210724,198
event_2023_asia_cup,2023 Asia Cup,2023_Asia_Cup,2023,8,Pakistan,South Asia,South & Southeast Asia,sports,873775,11169094,12.78,21,1630.5,20230914,180
event_2023_rugby_world_cup,2023 Rugby World Cup,2023_Rugby_World_Cup,2023,9,France,Western Europe,Western Europe,sports,199005,4363377,21.93,54,1153.2,20231015,195
event_94th_academy_awards,94th Academy Awards,94th_Academy_Awards,2022,3,United States,North America,Anglo-America & Oceania,entertainment_culture,1254922,4217697,3.36,3,6639.5,20220328,161
event_93rd_academy_awards,93rd Academy Awards,93rd_Academy_Awards,2021,4,United States,North America,Anglo-America & Oceania,entertainment_culture,1060002,3950451,3.73,3,6544.1,20210426,186
event_2023_fiba_basketball_world_cup,2023 FIBA Basketball World Cup,2023_FIBA_Basketball_World_Cup,2023,8,International,Southeast Asia,South & Southeast Asia,sports,328639,3779428,11.5,19,2750.0,20230903,192
event_2021_copa_am_rica,2021 Copa América,2021_Copa_América,2021,6,Brazil,Latin America,Latin America,sports,362737,3327557,9.17,29,1405.6,20210711,198
event_2021_canadian_federal_election,2021 Canadian federal election,2021_Canadian_federal_election,2021,9,Canada,North America,Anglo-America & Oceania,politics_elections,623058,3019295,4.85,4,2000.2,20210921,178
event_2022_brazilian_general_election,2022 Brazilian general election,2022_Brazilian_general_election,2022,10,Brazil,Latin America,Latin America,politics_elections,788593,2690271,3.41,4,681.9,20221002,185
event_siege_of_mariupol,Siege of Mariupol,Siege_of_Mariupol,2022,2,Ukraine,Eastern Europe & Russia,Eastern Europe & Russia,conflict_terrorism,57593,2645693,45.94,90,1316.2,20220517,184
event_2022_french_presidential_election,2022 French presidential election,2022_French_presidential_election,2022,4,France,Western Europe,Western Europe,politics_elections,265945,2602989,9.79,23,1723.8,20220410,178
event_2022_buffalo_shooting,2022 Buffalo shooting,2022_Buffalo_shooting,2022,5,United States,North America,Anglo-America & Oceania,conflict_terrorism,340170,2306140,6.78,12,2176.9,20220515,189
event_assassination_of_shinzo_abe,Assassination of Shinzo Abe,Assassination_of_Shinzo_Abe,2022,7,Japan,East Asia,East Asia,conflict_terrorism,557750,2233877,4.01,4,2116.6,20220708,169
event_2021_israel_palestine_crisis,2021 Israel–Palestine crisis,2021_Israel–Palestine_crisis,2021,5,Israel,Middle East & North Africa,Middle East & Africa,conflict_terrorism,159497,2086305,13.08,17,1361.8,20210516,189
event_2023_sag_aftra_strike,2023 SAG-AFTRA strike,2023_SAG-AFTRA_strike,2023,7,United States,North America,Anglo-America & Oceania,civil_unrest,68278,1889780,27.68,119,1023.8,20230714,199
event_2023_turkish_presidential_election,2023 Turkish presidential election,2023_Turkish_presidential_election,2023,5,Turkey,Middle East & North Africa,Middle East & Africa,politics_elections,488507,1877681,3.84,6,1083.8,20230514,199
event_hurricane_ian,Hurricane Ian,Hurricane_Ian,2022,9,United States,North America,Anglo-America & Oceania,natural_disaster,120641,1843621,15.28,24,3598.5,20220930,196
event_2022_philippine_presidential_election,2022 Philippine presidential election,2022_Philippine_presidential_election,2022,5,Philippines,Southeast Asia,South & Southeast Asia,politics_elections,288762,1747356,6.05,8,743.1,20220509,169
event_2022_wimbledon_championships_men_s_singles,2022 Wimbledon Championships – Men's singles,2022_Wimbledon_Championships_–_Men's_singles,2022,6,United Kingdom,Western Europe,Western Europe,sports,105188,1668241,15.86,24,450.3,20220704,189
event_mahsa_amini_protests,Mahsa Amini protests,Mahsa_Amini_protests,2022,9,Iran,Middle East & North Africa,Middle East & Africa,civil_unrest,49024,1628334,33.22,109,924.3,20220923,175
event_battle_of_bakhmut,Battle of Bakhmut,Battle_of_Bakhmut,2022,5,Ukraine,Eastern Europe & Russia,Eastern Europe & Russia,conflict_terrorism,24291,1610541,66.3,194,10923.8,20230304,182
event_2023_fifa_u_20_world_cup,2023 FIFA U-20 World Cup,2023_FIFA_U-20_World_Cup,2023,5,Argentina,Latin America,Latin America,sports,83324,1607978,19.3,27,587.2,20230528,188
event_gamestop_short_squeeze,GameStop short squeeze,GameStop_short_squeeze,2021,1,United States,North America,Anglo-America & Oceania,business_tech,219456,1576682,7.18,10,1158.2,20210129,185
event_2021_california_gubernatorial_recall_election,2021 California gubernatorial recall election,2021_California_gubernatorial_recall_election,2021,8,United States,North America,Anglo-America & Oceania,politics_elections,217033,1575000,7.26,7,940.2,20210915,194
