entity_id,entity_name,cohort,tier,control,noi_score,noi_rank,gold_words,gold_sources,n_models,namerank,namerank_sd,refusal_rate
oa_author_xavier_glorot,Xavier Glorot,long_tail_researcher_openalex,,True,,,,,36,0.8241666666666667,0.17142175085637956,0
nanogpt,nanoGPT,reference_pilot,,True,,,,,36,0.7391666666666666,0.1050231455971069,0
oa_author_cludio_r__mirasso,Cláudio R. Mirasso,long_tail_researcher_openalex,,True,,,,,36,0.7375,0.24505526587554355,0.027777777777777776
oa_author_marco_cuturi,Marco Cuturi,long_tail_researcher_openalex,,True,,,,,36,0.7347222222222223,0.29205674972807666,0.027777777777777776
oa_author_per_b__brockhoff,Per B. Brockhoff,long_tail_researcher_openalex,,True,,,,,36,0.7163888888888889,0.22419179261637392,0.027777777777777776
oa_author_theo_gevers,Theo Gevers,long_tail_researcher_openalex,,True,,,,,36,0.7041666666666667,0.17335536718928934,0
oa_author_marco_gruteser,Marco Gruteser,long_tail_researcher_openalex,,True,,,,,36,0.7,0.25026652459594617,0.027777777777777776
oa_author_paul_m__leonardi,Paul M. Leonardi,long_tail_researcher_openalex,,True,,,,,36,0.6863888888888889,0.13163824118853107,0
oa_author_abdolreza_hatamlou,Abdolreza Hatamlou,long_tail_researcher_openalex,,True,,,,,36,0.6861111111111111,0.35031951905667313,0.05555555555555555
oa_author_noel_gorelick,Noel Gorelick,long_tail_researcher_openalex,,True,,,,,36,0.6838888888888889,0.3314553579608989,0.1111111111111111
oa_author_zhiqin_chen,Zhiqin Chen,long_tail_researcher_openalex,,True,,,,,36,0.665,0.33392031650945975,0.1111111111111111
oa_author_jan_drugowitsch,Jan Drugowitsch,long_tail_researcher_openalex,,True,,,,,36,0.6508333333333334,0.3276547556329511,0.1111111111111111
oa_author_a__patrcia_bento,A. Patrícia Bento,long_tail_researcher_openalex,,True,,,,,36,0.6458333333333334,0.3256137367427172,0.1388888888888889
oa_author_murtaza_haider,Murtaza Haider,long_tail_researcher_openalex,,True,,,,,36,0.6455555555555555,0.28673879368245436,0.08333333333333333
noi_li_chao_2012,Li Chao (李超),noi_china_gold,,True,,,,,36,0.5944444444444444,0.4099488074032635,0.16666666666666666
