entity_id,model_id,bt_theta,own_score,panel_nr,own_label
aaditya_singh,gpt-5.5-think,-16.9064,0.0,0.0268,unknown
artifact_abel_prize,gpt-5.5-think,4.4105,1.0,0.9486,known
artifact_acl,gpt-5.5-think,11.4792,0.5,0.52,known
artifact_alpaca,gpt-5.5-think,7.0766,0.4,0.3541,known
artifact_amd_mi300,gpt-5.5-think,12.7707,0.5,0.7203,known
artifact_anthropic,gpt-5.5-think,18.9524,0.8,0.8111,known
artifact_babyagi,gpt-5.5-think,1.8575,1.0,0.6657,known
artifact_beit_paper,gpt-5.5-think,10.2306,0.75,0.6605,known
artifact_bigbird_paper,gpt-5.5-think,12.158,0.6,0.6292,known
artifact_bm25_paper,gpt-5.5-think,10.8003,0.75,0.6573,known
artifact_chain_of_thought_prompting_paper,gpt-5.5-think,16.1288,0.6,0.6135,known
artifact_cifar_10,gpt-5.5-think,16.1604,0.7,0.5432,known
artifact_claude_computer_use_paper,gpt-5.5-think,0.2777,0.75,0.363,known
artifact_constitutional_ai_paper,gpt-5.5-think,11.5947,0.7,0.6268,known
artifact_contrastive_loss,gpt-5.5-think,17.3507,0.5,0.5154,known
artifact_cupy,gpt-5.5-think,11.781,0.4,0.5365,known
artifact_cursor_company,gpt-5.5-think,5.939,1.0,0.8403,known
artifact_cycle_gan_paper,gpt-5.5-think,13.5615,0.7,0.7973,known
artifact_datasets_hugging_face,gpt-5.5-think,15.7137,0.7,0.4859,known
artifact_descript,gpt-5.5-think,7.2689,1.0,0.6757,known
artifact_doubao,gpt-5.5-think,-2.1617,1.0,0.3159,known
artifact_dropout_paper,gpt-5.5-think,15.181,0.7,0.7173,known
artifact_dspy_stanford,gpt-5.5-think,11.8142,1.0,0.6468,known
artifact_elevenlabs_company,gpt-5.5-think,9.3776,0.75,0.7738,known
artifact_faiss,gpt-5.5-think,12.0976,0.4,0.3859,known
artifact_fashion_mnist,gpt-5.5-think,11.1351,1.0,0.9654,known
artifact_flamingo_paper,gpt-5.5-think,15.139,1.0,0.7676,known
artifact_flashinfer,gpt-5.5-think,-1.8021,1.0,0.647,known
artifact_generative_agents_paper,gpt-5.5-think,10.7092,0.7,0.6789,known
artifact_gpqa,gpt-5.5-think,7.2902,1.0,0.6049,known
artifact_gqa,gpt-5.5-think,10.6191,0.4,0.527,known
artifact_gradio,gpt-5.5-think,12.7089,1.0,0.8616,known
artifact_gymnasium,gpt-5.5-think,11.9754,0.7,0.4605,known
artifact_hbase,gpt-5.5-think,21.0042,0.7,0.9162,known
artifact_hopfield_network_paper,gpt-5.5-think,14.6153,0.75,0.7076,known
artifact_humaneval_paper,gpt-5.5-think,11.347,1.0,0.7681,known
artifact_ikp_paper,gpt-5.5-think,-16.7506,0.0,0.0319,unknown
artifact_imagenet_competition,gpt-5.5-think,19.0418,0.5,0.5,known
artifact_instructgpt_paper,gpt-5.5-think,17.7468,0.8,0.7468,known
